id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
8973b7fa-4719-47af-9da5-8c57d8db70aa,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_amanda-kissenhug-go-go-dancer"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Amanda Kissenhug Go-Go Dancer"", ""rarity"": ""Common"", ""type"": ""Agent"", ""number"": ""1"", ""allegiance"": ""Good"", ""agent_type"": ""Assassin"", ""agent_gender"": ""Female"", ""vibes_shagadelic"": ""1"", ""vibes_randy"": ""1"", ""dot_color"": ""Purple"", ""score_amount"": ""25"", ""score_type"": ""Mojo"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Amanda Kissenhug Go-Go Dancer,Amanda Kissenhug Go-Go Dancer,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_amanda-kissenhug-go-go-dancer
e9ad78a8-5bc7-454d-b7b6-39a3449d9ed2,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-from-10-minutes-from-now"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Austin From 10 Minutes From Now"", ""rarity"": ""Rare"", ""type"": ""Agent"", ""number"": ""2"", ""allegiance"": ""Good"", ""agent_type"": ""Assassin"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""1"", ""vibes_shagadelic"": ""1"", ""vibes_randy"": ""1"", ""dot_color"": ""Green"", ""score_amount"": ""20"", ""score_type"": ""Mojo"", ""rule_text"": ""Playing this Agent does not cost you an action if you have another active Austin"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Austin From 10 Minutes From Now,Austin From 10 Minutes From Now,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-from-10-minutes-from-now
9effbad9-52c7-45f5-b03e-df0f153e9222,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-all-shagged-out"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Austin Powers All Shagged Out"", ""rarity"": ""Rare"", ""type"": ""Agent"", ""number"": ""3"", ""allegiance"": ""Good"", ""agent_type"": ""Shagger"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""1"", ""vibes_shagadelic"": ""1"", ""vibes_randy"": ""1"", ""dot_color"": ""Green"", ""score_amount"": ""20"", ""score_type"": ""Mojo"", ""rule_text"": ""When played, you may return one discarded Happening to your hand"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Austin Powers All Shagged Out,Austin Powers All Shagged Out,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-all-shagged-out
fe1d894a-3180-4f2e-85cf-6e0cceea4ea4,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-astro-naughty"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Austin Powers Astro-Naughty"", ""rarity"": ""Rare"", ""type"": ""Agent"", ""number"": ""4"", ""allegiance"": ""Good"", ""agent_type"": ""Assassin"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""2"", ""vibes_randy"": ""1"", ""dot_color"": ""Green"", ""score_amount"": ""20"", ""score_type"": ""Mojo"", ""rule_text"": ""When played, you may return the top card of your discard pile to your hand."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Austin Powers Astro-Naughty,Austin Powers Astro-Naughty,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-astro-naughty
66115196-49d3-435a-a4b4-362787573706,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-bikini-clad-bombshell-"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Austin Powers Bikini-Clad Bombshell?"", ""rarity"": ""Rare"", ""type"": ""Agent"", ""number"": ""5"", ""allegiance"": ""Good"", ""agent_type"": ""Shagger"", ""agent_gender"": ""Male"", ""vibes_randy"": ""1"", ""vibes_creepy"": ""2"", ""dot_color"": ""Green"", ""score_amount"": ""20"", ""score_type"": ""Mojo"", ""rule_text"": ""When played, you may choose one opponent to discard one card from hand at random."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Austin Powers Bikini-Clad Bombshell?,Austin Powers Bikini-Clad Bombshell?,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-bikini-clad-bombshell-
c249bf37-4820-402a-9f1b-29d218f2c191,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-fashion-photographer"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Austin Powers Fashion Photographer"", ""rarity"": ""Rare"", ""type"": ""Agent"", ""number"": ""6"", ""allegiance"": ""Good"", ""agent_type"": ""Shagger"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""2"", ""vibes_shagadelic"": ""1"", ""vibes_randy"": ""1"", ""dot_color"": ""Green"", ""score_amount"": ""15"", ""score_type"": ""Mojo"", ""rule_text"": ""When played, you may draw one card."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Austin Powers Fashion Photographer,Austin Powers Fashion Photographer,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-fashion-photographer
eedaf106-bc9e-4945-9aeb-51a48e0017d1,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-m-o-d--agent"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Austin Powers M.O.D. Agent"", ""rarity"": ""Fixed"", ""type"": ""Agent"", ""number"": ""7"", ""allegiance"": ""Good"", ""agent_type"": ""Shagger"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""2"", ""dot_color"": ""Green"", ""score_amount"": ""20"", ""score_type"": ""Mojo"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Austin Powers M.O.D. Agent,Austin Powers M.O.D. Agent,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_austin-powers-m-o-d--agent
5dfb279a-feb5-45d1-9530-9d0e49324e89,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_barry-erman-battering-ram-expert"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Barry Erman Battering Ram Expert"", ""rarity"": ""Common"", ""type"": ""Agent"", ""number"": ""8"", ""allegiance"": ""Good"", ""agent_type"": ""Assassin"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""1"", ""vibes_randy"": ""1"", ""dot_color"": ""Green"", ""score_amount"": ""25"", ""score_type"": ""Mojo"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Barry Erman Battering Ram Expert,Barry Erman Battering Ram Expert,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_barry-erman-battering-ram-expert
f816ed1d-3b12-4604-af03-53d10ede5dd0,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_basil-exposition-elder-british-intelligence-superior"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Basil Exposition Elder British Intelligence Superior"", ""rarity"": ""Uncommon"", ""type"": ""Agent"", ""number"": ""9"", ""allegiance"": ""Good"", ""agent_type"": ""Assassin"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""2"", ""dot_color"": ""Green"", ""score_amount"": ""25"", ""score_type"": ""Mojo"", ""rule_text"": ""When played, you may return one discarded Swinger to your hand."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Basil Exposition Elder British Intelligence Superior,Basil Exposition Elder British Intelligence Superior,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_basil-exposition-elder-british-intelligence-superior
6c847452-b967-41fa-838c-02fa8519fca7,item,1,1,"{""obverse"": ""austin-powers-collectible-card-game_the-spy-who-shagged-me_basil-exposition-younger-british-intelligence-superior"", ""reverse"": ""austin-powers-collectible-card-game_card-back""}","{""name_printed"": ""Basil Exposition Younger British Intelligence Superior"", ""rarity"": ""Rare"", ""type"": ""Agent"", ""number"": ""10"", ""allegiance"": ""Good"", ""agent_type"": ""Shagger"", ""agent_gender"": ""Male"", ""vibes_groovy"": ""3"", ""dot_color"": ""Green"", ""score_amount"": ""20"", ""score_type"": ""Mojo"", ""rule_text"": ""When played, you may return one discarded Assassin to your hand."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",94728358-cb3b-4fca-ad51-75f809b6f38d,e341ac4c-072f-41a1-9abf-90e3dc815199,Basil Exposition Younger British Intelligence Superior,Basil Exposition Younger British Intelligence Superior,{},austin-powers-collectible-card-game_the-spy-who-shagged-me_basil-exposition-younger-british-intelligence-superior
