id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
ca0f32fe-d8bd-4ab0-aa94-0cd8f0905374,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_abandoned-vault"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Abandoned Vault"", ""type"": ""Place"", ""deck"": ""Banemaster"", ""profession"": ""Vagabond"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Abandoned Vault,Abandoned Vault,{},banemaster--the-adventure_base-set_abandoned-vault
337981dd-aa7f-4049-a9e4-0be33beae338,item,1,0,"{""obverse"": ""banemaster--the-adventure_base-set_ancient-necklace-(5)"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Ancient Necklace"", ""functional_disambiguator"": ""5"", ""type"": ""Treasure"", ""deck"": ""Adventure"", ""profession"": ""Ecclesiastic"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Ancient Necklace (5),Ancient Necklace (5),{},banemaster--the-adventure_base-set_ancient-necklace-(5)
b7932b09-01a1-49af-b59a-150e0f64a41f,item,1,0,"{""obverse"": ""banemaster--the-adventure_base-set_ancient-necklace-(8)"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Ancient Necklace"", ""functional_disambiguator"": ""8"", ""type"": ""Treasure"", ""deck"": ""Adventure"", ""profession"": ""Ecclesiastic"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Ancient Necklace (8),Ancient Necklace (8),{},banemaster--the-adventure_base-set_ancient-necklace-(8)
f9f7559e-0245-4a2b-b1df-45517180313b,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_ant-mage"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Ant Mage"", ""type"": ""Marauder"", ""deck"": ""Banemaster"", ""profession"": ""Alchemist"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Ant Mage,Ant Mage,{},banemaster--the-adventure_base-set_ant-mage
0106bdb7-80dd-42f6-8106-88c0c8b1f66a,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_apathy-of-age"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Apathy of Age"", ""type"": ""Potion"", ""deck"": ""Adventure"", ""profession"": ""Vagabond"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Apathy of Age,Apathy of Age,{},banemaster--the-adventure_base-set_apathy-of-age
bb4e9545-0baa-42d5-9d27-aa74d7439580,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_armoire-[unknown-variant-#1]"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Armoire"", ""variant_disambiguator"": ""Unknown Variant #1"", ""type"": ""Feature"", ""deck"": ""Banemaster"", ""profession"": ""Warrior"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Armoire,Armoire [Unknown Variant #1],{},banemaster--the-adventure_base-set_armoire-[unknown-variant-#1]
f535d504-e6d2-4c18-acbb-5cb61c762d75,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_armoire-[unknown-variant-#2]"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Armoire"", ""variant_disambiguator"": ""Unknown Variant #2"", ""type"": ""Feature"", ""deck"": ""Banemaster"", ""profession"": ""Warrior"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Armoire,Armoire [Unknown Variant #2],{},banemaster--the-adventure_base-set_armoire-[unknown-variant-#2]
8945c15e-fd56-4b33-8cc2-390f437774a9,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_arrow-wall-slots-[unknown-variant-#1]"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Arrow Wall Slots"", ""variant_disambiguator"": ""Unknown Variant #1"", ""type"": ""Trap"", ""deck"": ""Banemaster"", ""profession"": ""Vagabond"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Arrow Wall Slots,Arrow Wall Slots [Unknown Variant #1],{},banemaster--the-adventure_base-set_arrow-wall-slots-[unknown-variant-#1]
ae08869f-9ad6-4ca5-9851-1266bf561818,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_arrow-wall-slots-[unknown-variant-#2]"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Arrow Wall Slots"", ""variant_disambiguator"": ""Unknown Variant #2"", ""type"": ""Trap"", ""deck"": ""Banemaster"", ""profession"": ""Vagabond"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Arrow Wall Slots,Arrow Wall Slots [Unknown Variant #2],{},banemaster--the-adventure_base-set_arrow-wall-slots-[unknown-variant-#2]
ad697907-7277-4ef7-9320-29090697d4fe,,0,0,"{""obverse"": ""banemaster--the-adventure_base-set_arrow-wall-slots-[unknown-variant-#3]"", ""reverse"": ""banemaster--the-adventure_card-back""}","{""name_printed"": ""Arrow Wall Slots"", ""variant_disambiguator"": ""Unknown Variant #3"", ""type"": ""Trap"", ""deck"": ""Banemaster"", ""profession"": ""Vagabond"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",95788445-73fc-43fa-af32-8a714a4154f6,d3c1c886-5d16-4575-b463-2470fcbe3cf6,Arrow Wall Slots,Arrow Wall Slots [Unknown Variant #3],{},banemaster--the-adventure_base-set_arrow-wall-slots-[unknown-variant-#3]
