id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
19f1959e-dd26-4e05-83cc-3814985f87b2,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_black-viper-(notorious-bandit)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Black Viper"", ""functional_disambiguator"": ""Notorious Bandit"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""2"", ""type"": ""Character"", ""subtitle"": ""Notorious Bandit"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Black Viper (Notorious Bandit),Black Viper (Notorious Bandit),{},dice-masters_adventures-in-waterdeep-team-pack_black-viper-(notorious-bandit)
a0b875a4-41af-473c-98b8-8a8b80490603,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_black-viper-(reviving-a-legend)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Black Viper"", ""functional_disambiguator"": ""Reviving a Legend"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""3"", ""type"": ""Character"", ""subtitle"": ""Reviving a Legend"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Black Viper (Reviving a Legend),Black Viper (Reviving a Legend),{},dice-masters_adventures-in-waterdeep-team-pack_black-viper-(reviving-a-legend)
53b05741-0a85-4d46-94eb-2c802d500e66,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_black-viper-(scaring-nobles,-stealing-jewels)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Black Viper"", ""functional_disambiguator"": ""Scaring Nobles, Stealing Jewels"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""1"", ""type"": ""Character"", ""subtitle"": ""Scaring Nobles, Stealing Jewels"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,"Black Viper (Scaring Nobles, Stealing Jewels)","Black Viper (Scaring Nobles, Stealing Jewels)",{},"dice-masters_adventures-in-waterdeep-team-pack_black-viper-(scaring-nobles,-stealing-jewels)"
190d5fa7-a6e4-4ad1-8e65-03a798299387,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_brawlwin-chainminer-(hitch's-friend)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Brawlwin Chainminer"", ""functional_disambiguator"": ""Hitch's Friend"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""4"", ""type"": ""Character"", ""subtitle"": ""Hitch's Friend"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Brawlwin Chainminer (Hitch's Friend),Brawlwin Chainminer (Hitch's Friend),{},dice-masters_adventures-in-waterdeep-team-pack_brawlwin-chainminer-(hitch's-friend)
86f7c59c-bb5b-41db-9f25-bba79a9ae12a,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_brawlwin-chainminer-(long-line-of-giant-slayers)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Brawlwin Chainminer"", ""functional_disambiguator"": ""Long Line of Giant-Slayers"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""6"", ""type"": ""Character"", ""subtitle"": ""Long Line of Giant-Slayers"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Brawlwin Chainminer (Long Line of Giant-Slayers),Brawlwin Chainminer (Long Line of Giant-Slayers),{},dice-masters_adventures-in-waterdeep-team-pack_brawlwin-chainminer-(long-line-of-giant-slayers)
5974934b-97b6-4f5e-b106-142a907cdc0b,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_brawlwin-chainminer-(longing-for-adventure)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Brawlwin Chainminer"", ""functional_disambiguator"": ""Longing for Adventure"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""5"", ""type"": ""Character"", ""subtitle"": ""Longing for Adventure"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Brawlwin Chainminer (Longing for Adventure),Brawlwin Chainminer (Longing for Adventure),{},dice-masters_adventures-in-waterdeep-team-pack_brawlwin-chainminer-(longing-for-adventure)
5922d6a2-5d20-4bb5-995b-cddbdf177549,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_dagny-(cleric-of-gond)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Dagny"", ""functional_disambiguator"": ""Cleric of Gond"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""12"", ""type"": ""Character"", ""subtitle"": ""Cleric of Gond"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Dagny (Cleric of Gond),Dagny (Cleric of Gond),{},dice-masters_adventures-in-waterdeep-team-pack_dagny-(cleric-of-gond)
f7b112db-4aac-4d3f-a5a5-f68618444125,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_dagny-(gizmos-and-gadgets)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Dagny"", ""functional_disambiguator"": ""Gizmos and Gadgets"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""10"", ""type"": ""Character"", ""subtitle"": ""Gizmos and Gadgets"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Dagny (Gizmos and Gadgets),Dagny (Gizmos and Gadgets),{},dice-masters_adventures-in-waterdeep-team-pack_dagny-(gizmos-and-gadgets)
99580cf1-03d0-4482-abd7-6279403e7abc,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_dagny-(surviving-on-wits)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Dagny"", ""functional_disambiguator"": ""Surviving on Wits"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""11"", ""type"": ""Character"", ""subtitle"": ""Surviving on Wits"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Dagny (Surviving on Wits),Dagny (Surviving on Wits),{},dice-masters_adventures-in-waterdeep-team-pack_dagny-(surviving-on-wits)
e9e349e4-e985-425a-ad4e-6e1dc23bb66e,first-party-document,0,,"{""obverse"": ""dice-masters_adventures-in-waterdeep-team-pack_durnan-(proprietor-of-the-yawning-portal)"", ""reverse"": ""dice-masters_back""}","{""name_printed"": ""Durnan"", ""functional_disambiguator"": ""Proprietor of the Yawning Portal"", ""finish"": ""Normal"", ""rarity"": ""Fixed"", ""number"": ""13"", ""type"": ""Character"", ""subtitle"": ""Proprietor of the Yawning Portal"", ""universe"": ""Dungeons & Dragons Dice Masters""}",e2ac8b3e-8436-44ec-b6c1-b30e215e595c,9f0e7cbc-164d-4537-86bd-9db9d7cb8efb,Durnan (Proprietor of the Yawning Portal),Durnan (Proprietor of the Yawning Portal),{},dice-masters_adventures-in-waterdeep-team-pack_durnan-(proprietor-of-the-yawning-portal)
