id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
c837a614-08ca-403b-a048-26a30beefdaf,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_vegeta-prince-of-saiyans"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Vegeta Prince of Saiyans"", ""rarity"": ""Promo"", ""number_printed"": ""P01"", ""card_number_integer"": ""1"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Vegeta Prince of Saiyans,Vegeta Prince of Saiyans,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_vegeta-prince-of-saiyans
44acce9e-d9f8-43bb-864b-859892613b9a,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_vegeta-prince-of-saiyans-lv--11"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Vegeta Prince of Saiyans Lv. 11"", ""rarity"": ""Fixed"", ""number_printed"": ""S001"", ""card_number_integer"": ""1"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Vegeta Prince of Saiyans Lv. 11,Vegeta Prince of Saiyans Lv. 11,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_vegeta-prince-of-saiyans-lv--11
142ab09d-912e-439a-976b-5d5d3229ea4b,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_namek-dragon-ball-1"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Namek Dragon Ball 1"", ""rarity"": ""Common"", ""number_printed"": ""C1"", ""card_number_integer"": ""1"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Namek Dragon Ball 1,Namek Dragon Ball 1,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_namek-dragon-ball-1
dab64754-317d-45fb-ab63-0a1f5ca957a9,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_namek-dragon-ball-2"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Namek Dragon Ball 2"", ""rarity"": ""Common"", ""number_printed"": ""C2"", ""card_number_integer"": ""2"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Namek Dragon Ball 2,Namek Dragon Ball 2,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_namek-dragon-ball-2
d268828e-ede1-4301-9312-07ca08aec5c8,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_vegeta-villainous-lv--21"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Vegeta Villainous Lv. 21"", ""rarity"": ""Fixed"", ""number_printed"": ""S002"", ""card_number_integer"": ""2"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Vegeta Villainous Lv. 21,Vegeta Villainous Lv. 21,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_vegeta-villainous-lv--21
4b60dbfd-2368-4fe4-b543-e75b8b0fe3e2,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_goku-protector-of-earth"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Goku Protector of Earth"", ""rarity"": ""Promo"", ""number_printed"": ""P02"", ""card_number_integer"": ""2"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Goku Protector of Earth,Goku Protector of Earth,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_goku-protector-of-earth
d2bd2337-de9a-40b0-9551-666b6a0a910b,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_vegeta-empowered-lv--31"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Vegeta Empowered Lv. 31"", ""rarity"": ""Fixed"", ""number_printed"": ""S003"", ""card_number_integer"": ""3"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Vegeta Empowered Lv. 31,Vegeta Empowered Lv. 31,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_vegeta-empowered-lv--31
cb300950-f958-4152-8ddc-fd090418d182,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_namek-dragon-ball-3"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Namek Dragon Ball 3"", ""rarity"": ""Common"", ""number_printed"": ""C3"", ""card_number_integer"": ""3"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Namek Dragon Ball 3,Namek Dragon Ball 3,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_namek-dragon-ball-3
3d0b6d16-926c-4c21-a53f-753ed27e1710,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_gohan-resilient-child"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Gohan Resilient Child"", ""rarity"": ""Promo"", ""number_printed"": ""P03"", ""card_number_integer"": ""3"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Gohan Resilient Child,Gohan Resilient Child,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_gohan-resilient-child
ecbf876a-ab14-4f49-a4fa-8ffd465804bb,third-party-document,0,0,"{""obverse"": ""dragon-ball-z-(2014)_set-1--premier-set_krillin-ready"", ""reverse"": ""dragon-ball-z-(2014)_card-back""}","{""name_printed"": ""Krillin Ready"", ""rarity"": ""Promo"", ""number_printed"": ""P04"", ""card_number_integer"": ""4"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",3c391c54-dc72-436d-9264-4f199ce03119,ff9bc07a-b178-4811-912a-286abe1a1252,Krillin Ready,Krillin Ready,"{""source_notes"": ""Included in Jason Matz's CCG Checklist""}",dragon-ball-z-(2014)_set-1--premier-set_krillin-ready
