id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
0dbaa30f-71f3-4ba8-af24-afbb6bfe1086,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_-22-defense"", ""reverse"": ""gridiron-fantasy-football_defensive-play_card-back""}","{""name_printed"": "".22 Defense"", ""rarity"": ""Rare"", ""deck"": ""Defensive Play"", ""type"": ""Pass"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,.22 Defense,.22 Defense,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_-22-defense
d4556d79-a666-486f-a153-afc1365701b7,item,1,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_-friends--in-the-stands"", ""reverse"": ""gridiron-fantasy-football_team_card-back""}","{""name_printed"": ""\u0022Friends\u0022 in the Stands"", ""rarity"": ""Uncommon"", ""deck"": ""Team"", ""type"": ""Asset"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,"""Friends"" in the Stands","""Friends"" in the Stands","{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_-friends--in-the-stands
a265ed1c-14d0-4916-b1f7-9906ca423833,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_110-percent"", ""reverse"": ""gridiron-fantasy-football_defensive-action_card-back""}","{""name_printed"": ""110 Percent"", ""rarity"": ""Common"", ""deck"": ""Defensive Action"", ""type"": ""Challenge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,110 Percent,110 Percent,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_110-percent
8cefe43c-61d8-44dd-9894-03d971acdd3a,item,1,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_20-man-brawl"", ""reverse"": ""gridiron-fantasy-football_defensive-play_card-back""}","{""name_printed"": ""20 Man Brawl"", ""rarity"": ""Uncommon"", ""deck"": ""Defensive Play"", ""type"": ""Run"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,20 Man Brawl,20 Man Brawl,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_20-man-brawl
bc074299-3faa-4fa6-b5e1-983945ac890c,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_5th-down"", ""reverse"": ""gridiron-fantasy-football_defensive-action_card-back""}","{""name_printed"": ""5th Down"", ""rarity"": ""Rare"", ""deck"": ""Defensive Action"", ""type"": ""Challenge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,5th Down,5th Down,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_5th-down
edda42be-f583-4cbe-8fc2-c5cb4189f30f,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_adapt-and-overcome"", ""reverse"": ""gridiron-fantasy-football_defensive-action_card-back""}","{""name_printed"": ""Adapt and Overcome"", ""rarity"": ""Rare"", ""deck"": ""Defensive Action"", ""type"": ""Action"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Adapt and Overcome,Adapt and Overcome,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_adapt-and-overcome
9eac4e08-48e8-4b2e-82c6-01a9772d6530,item,1,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_adaptable-defense"", ""reverse"": ""gridiron-fantasy-football_defensive-play_card-back""}","{""name_printed"": ""Adaptable Defense"", ""rarity"": ""Common"", ""deck"": ""Defensive Play"", ""type"": ""Run"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Adaptable Defense,Adaptable Defense,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_adaptable-defense
7d810957-08c1-4697-a5bd-3b26d050af03,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_adaptable-offense"", ""reverse"": ""gridiron-fantasy-football_offensive-action_card-back""}","{""name_printed"": ""Adaptable Offense"", ""rarity"": ""Uncommon"", ""deck"": ""Offensive Action"", ""type"": ""Action"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Adaptable Offense,Adaptable Offense,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_adaptable-offense
d66815f3-fe66-4ef2-804b-a0b487c6b519,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_adaptable-team"", ""reverse"": ""gridiron-fantasy-football_team_card-back""}","{""name_printed"": ""Adaptable Team"", ""rarity"": ""Rare"", ""deck"": ""Team"", ""type"": ""Tradition"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Adaptable Team,Adaptable Team,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_adaptable-team
53a34f56-41ac-4d33-8496-97deaeb076f5,item,1,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_adrenaline-rush"", ""reverse"": ""gridiron-fantasy-football_offensive-action_card-back""}","{""name_printed"": ""Adrenaline Rush"", ""rarity"": ""Common"", ""deck"": ""Offensive Action"", ""type"": ""Challenge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Adrenaline Rush,Adrenaline Rush,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_adrenaline-rush
da77ec3e-6cae-462b-ae48-d7ac9f12d8c0,photo,0,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_aerial-bombardment"", ""reverse"": ""gridiron-fantasy-football_offensive-action_card-back""}","{""name_printed"": ""Aerial Bombardment"", ""rarity"": ""Rare"", ""deck"": ""Offensive Action"", ""type"": ""Action"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Aerial Bombardment,Aerial Bombardment,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_aerial-bombardment
53ac2992-a16a-4539-a216-7a7582baa5d2,item,1,0,"{""obverse"": ""gridiron-fantasy-football_gridiron_antonio-mason---ss"", ""reverse"": ""gridiron-fantasy-football_team_card-back""}","{""name_printed"": ""Antonio Mason - SS"", ""rarity"": ""Uncommon"", ""deck"": ""Team"", ""type"": ""Star Player"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c4596b0f-473d-4fc3-a9ff-ddd719f94726,0c715d5a-63ae-4042-90af-703435b89d91,Antonio Mason - SS,Antonio Mason - SS,"{""rarity_notes"": ""Jason Matz's CCG Checklist""}",gridiron-fantasy-football_gridiron_antonio-mason---ss
