id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
a14c2c0d-7187-44dc-866f-26e0bdb9da7c,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_alan-baines"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Alan Baines"", ""rarity"": ""Rare"", ""type"": ""Event"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Alan Baines,Alan Baines,{},highlander_series-edition_alan-baines
a6839f9e-b699-4ffa-b751-eddadbcae4da,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-back-away"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Back Away"", ""rarity"": ""Uncommon"", ""type"": ""Dodge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Back Away,Amanda Back Away,{},highlander_series-edition_amanda-back-away
a051a4e6-84aa-405a-bccf-13a1b468c646,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-continuity"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Continuity"", ""rarity"": ""Uncommon"", ""type"": ""Situation"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Continuity,Amanda Continuity,{},highlander_series-edition_amanda-continuity
3fb2ff35-5823-423f-bb51-65c988c53cea,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-distract"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Distract"", ""rarity"": ""Rare"", ""type"": ""Dodge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Distract,Amanda Distract,{},highlander_series-edition_amanda-distract
f05eb153-9079-4fde-bb8e-c1f0bb333425,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-jump"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Jump"", ""rarity"": ""Uncommon"", ""type"": ""Dodge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Jump,Amanda Jump,{},highlander_series-edition_amanda-jump
1319dd83-15be-4379-b92c-c0f14c34d781,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-left-side-step"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Left Side Step"", ""rarity"": ""Uncommon"", ""type"": ""Dodge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Left Side Step,Amanda Left Side Step,{},highlander_series-edition_amanda-left-side-step
27362958-d7b1-4db7-bd64-30a20c649398,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-master's-advice"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Master's Advice"", ""rarity"": ""Rare"", ""type"": ""Situation"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Master's Advice,Amanda Master's Advice,{},highlander_series-edition_amanda-master's-advice
4df6a699-8fa6-4294-b7f5-597b89f3dc2f,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-master's-attack"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Master's Attack"", ""rarity"": ""Rare"", ""type"": ""Attack"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Master's Attack,Amanda Master's Attack,{},highlander_series-edition_amanda-master's-attack
c35d2a40-0a68-4a1c-9639-aca134a35203,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-persona"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Persona"", ""rarity"": ""Rare"", ""type"": ""Persona"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Persona,Amanda Persona,{},highlander_series-edition_amanda-persona
c320f85f-dc18-4db9-bdb8-006693acd3d6,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-right-side-step"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Right Side Step"", ""rarity"": ""Uncommon"", ""type"": ""Dodge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Right Side Step,Amanda Right Side Step,{},highlander_series-edition_amanda-right-side-step
14cf7260-fab5-4c7b-acd3-040f728d47eb,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-seduce"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Seduce"", ""rarity"": ""Rare"", ""type"": ""Event"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Seduce,Amanda Seduce,{},highlander_series-edition_amanda-seduce
0db3bed2-be6d-410e-8551-de5661cd0f8c,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-steal"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Steal"", ""rarity"": ""Uncommon"", ""type"": ""Event"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Steal,Amanda Steal,{},highlander_series-edition_amanda-steal
b1ab1c42-db17-4fa3-80c7-1d5dee1bede4,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_amanda-surprise-attack"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Amanda Surprise Attack"", ""rarity"": ""Rare"", ""type"": ""Event"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Amanda Surprise Attack,Amanda Surprise Attack,{},highlander_series-edition_amanda-surprise-attack
f5cc9637-3a4b-4e2e-a7d7-8d7a1d7ceeaa,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_angry-mob-(3-damage)"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Angry Mob (3 Damage)"", ""rarity"": ""Common"", ""type"": ""Event"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Angry Mob (3 Damage),Angry Mob (3 Damage),{},highlander_series-edition_angry-mob-(3-damage)
38a61510-6458-48b3-b939-623eccd4740e,third-party-document,0,0,"{""obverse"": ""highlander_series-edition_avery-hoskins"", ""reverse"": ""highlander_card-back""}","{""name_printed"": ""Avery Hoskins"", ""rarity"": ""Rare"", ""type"": ""Situation"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0146d641-3308-4337-a177-85151cf7ed5e,1ac779e2-360b-433d-acef-baacd90332ca,Avery Hoskins,Avery Hoskins,{},highlander_series-edition_avery-hoskins
