id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
091a1a73-0f0e-44df-99ba-799f805678de,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_a-vampire-moon"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""A Vampire Moon"", ""rarity"": ""Common"", ""type"": ""Power Surge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,A Vampire Moon,A Vampire Moon,{},hyborian-gates_limited-edition_a-vampire-moon
05266ef1-55ce-40aa-848d-cff25b51ac55,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_absorption"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Absorption"", ""rarity"": ""Rare"", ""type"": ""Hyborian Trooper"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Absorption,Absorption,{},hyborian-gates_limited-edition_absorption
deeddd97-be12-41eb-88ca-d1f18f2382f8,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_action-mistress"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Action Mistress"", ""rarity"": ""Uncommon"", ""type"": ""Asgard Trooper"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Action Mistress,Action Mistress,{},hyborian-gates_limited-edition_action-mistress
c4db1eb3-381e-4ae7-8fab-e68aee8e9ca5,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_adeluvians"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Adeluvians"", ""rarity"": ""Rare"", ""type"": ""Chaos Companion"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Adeluvians,Adeluvians,{},hyborian-gates_limited-edition_adeluvians
1bd8ba5b-211a-467f-847f-4591930992ea,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_agrelius"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Agrelius"", ""rarity"": ""Ultra Rare"", ""type"": ""Asgard Trooper"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Agrelius,Agrelius,{},hyborian-gates_limited-edition_agrelius
9cc80058-6d3a-4cf2-8b81-354238f66db0,third-party-document,0,0,"{""obverse"": ""hyborian-gates_limited-edition_agrippa's-curse"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Agrippa's Curse"", ""rarity"": ""Rare"", ""type"": ""Gaean Magic"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Agrippa's Curse,Agrippa's Curse,{},hyborian-gates_limited-edition_agrippa's-curse
202a0dad-4466-4b61-8363-9325a06382cb,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_alasandra"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Alasandra"", ""rarity"": ""Ultra Rare"", ""type"": ""Hyborian Companion"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Alasandra,Alasandra,{},hyborian-gates_limited-edition_alasandra
661c0f3b-1a0b-4452-82a3-dbd726f96a36,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_alien-logic"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Alien Logic"", ""rarity"": ""Common"", ""type"": ""Vortex Tactics"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Alien Logic,Alien Logic,{},hyborian-gates_limited-edition_alien-logic
f189c960-92be-4f09-9d23-bc0dac8e3df2,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_amazons-of-troy"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Amazons of Troy"", ""rarity"": ""Common"", ""type"": ""Osiran Companion"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Amazons of Troy,Amazons of Troy,{},hyborian-gates_limited-edition_amazons-of-troy
334b0ab3-b637-4cd6-8776-2c8787649e7d,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_amber-tide"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Amber Tide"", ""rarity"": ""Ultra Rare"", ""type"": ""Power Surge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Amber Tide,Amber Tide,{},hyborian-gates_limited-edition_amber-tide
c958368e-cf8a-4734-a2b1-b46688b7383b,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_amber-watcher"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Amber Watcher"", ""rarity"": ""Common"", ""type"": ""Chaos Companion"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Amber Watcher,Amber Watcher,{},hyborian-gates_limited-edition_amber-watcher
78be5e2a-aaa1-497f-9e3d-83c86478d0d3,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_amunet's-gate"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Amunet's Gate"", ""rarity"": ""Rare"", ""type"": ""Osiran Gate"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Amunet's Gate,Amunet's Gate,{},hyborian-gates_limited-edition_amunet's-gate
bf7d55fb-3cbf-4a6a-8f26-d21847894da1,third-party-document,0,0,"{""obverse"": ""hyborian-gates_limited-edition_ancient-gate"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Ancient Gate"", ""rarity"": ""Ultra Rare"", ""type"": ""Non-Dimensional Gate"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Ancient Gate,Ancient Gate,{},hyborian-gates_limited-edition_ancient-gate
7aad7eaa-3b42-4006-9730-0955af529eaf,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_angel-in-glass"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Angel in Glass"", ""rarity"": ""Uncommon"", ""type"": ""Gaean Magic"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Angel in Glass,Angel in Glass,{},hyborian-gates_limited-edition_angel-in-glass
177b5717-ed61-4507-9718-2122b59f3a76,third-party-document,0,0,"{""obverse"": ""hyborian-gates_limited-edition_angel-storm"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Angel Storm"", ""rarity"": ""Ultra Rare"", ""type"": ""Vortex Tactics"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Angel Storm,Angel Storm,{},hyborian-gates_limited-edition_angel-storm
0f16d413-6297-40a8-bb45-83d394dd0d4b,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_anger-of-the-gods"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Anger of the Gods"", ""rarity"": ""Ultra Rare"", ""type"": ""Power Surge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Anger of the Gods,Anger of the Gods,{},hyborian-gates_limited-edition_anger-of-the-gods
e4a0b1af-9ae7-43ef-9aea-cf1877d2092c,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_annwn's-gate"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Annwn's Gate"", ""rarity"": ""Rare"", ""type"": ""Chaos Gate"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Annwn's Gate,Annwn's Gate,{},hyborian-gates_limited-edition_annwn's-gate
8a03a57a-d7f3-4013-bd85-5976f9702162,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_antarea"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Antarea"", ""rarity"": ""Rare"", ""type"": ""Asgard Trooper"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Antarea,Antarea,{},hyborian-gates_limited-edition_antarea
d1ce2a94-7d61-4c90-9cee-630579ab1a1a,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_anubis'-gate"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Anubis' Gate"", ""rarity"": ""Rare"", ""type"": ""Osiran Gate"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Anubis' Gate,Anubis' Gate,{},hyborian-gates_limited-edition_anubis'-gate
6019160f-c3e9-4dbc-b935-75729f483128,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_apollo's-gate"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Apollo's Gate"", ""rarity"": ""Rare"", ""type"": ""Gaean Gate"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Apollo's Gate,Apollo's Gate,{},hyborian-gates_limited-edition_apollo's-gate
a1d2c766-d6ee-4b84-a53c-c2969e2fc736,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_aquanian"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Aquanian"", ""rarity"": ""Rare"", ""type"": ""Chaos Monster"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Aquanian,Aquanian,{},hyborian-gates_limited-edition_aquanian
50631491-39ac-439a-9fb9-86c6ec4c350a,third-party-document,0,0,"{""obverse"": ""hyborian-gates_limited-edition_archeens"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Archeens"", ""rarity"": ""Ultra Rare"", ""type"": ""Atlantean Trooper"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Archeens,Archeens,{},hyborian-gates_limited-edition_archeens
c1c886f2-cbed-4bec-b29d-aee565b16a49,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_archeons"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Archeons"", ""rarity"": ""Uncommon"", ""type"": ""Atlantean Companion"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Archeons,Archeons,{},hyborian-gates_limited-edition_archeons
81db1000-7f2b-462f-abf0-dccc3bfda22b,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_arnth"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Arnth"", ""rarity"": ""Rare"", ""type"": ""Osiran Trooper"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Arnth,Arnth,{},hyborian-gates_limited-edition_arnth
9327b927-b76a-4240-be48-ace179e3a7e5,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_art-imitates-life"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Art Imitates Life"", ""rarity"": ""Common"", ""type"": ""Power Surge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Art Imitates Life,Art Imitates Life,{},hyborian-gates_limited-edition_art-imitates-life
bd8bb2a5-bb2e-4cb4-ad1c-c08a7d1d0cd1,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_asgard-pyramid"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Asgard Pyramid"", ""rarity"": ""Fixed"", ""type"": ""Game Aid"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Asgard Pyramid,Asgard Pyramid,{},hyborian-gates_limited-edition_asgard-pyramid
cb00ae65-5cba-4e89-b363-17a8171e07bd,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_asgard-dimension-card"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Asgard Dimension Card"", ""rarity"": ""Fixed"", ""type"": ""Game Aid"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Asgard Dimension Card,Asgard Dimension Card,{},hyborian-gates_limited-edition_asgard-dimension-card
35eb70d0-d57f-4054-abd4-772618d087d9,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_atlantis-pyramid"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Atlantis Pyramid"", ""rarity"": ""Fixed"", ""type"": ""Game Aid"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Atlantis Pyramid,Atlantis Pyramid,{},hyborian-gates_limited-edition_atlantis-pyramid
247b573f-e9d8-45c6-bdf3-527dc8abe61b,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_atlantis-dimension-card"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Atlantis Dimension Card"", ""rarity"": ""Fixed"", ""type"": ""Game Aid"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Atlantis Dimension Card,Atlantis Dimension Card,{},hyborian-gates_limited-edition_atlantis-dimension-card
3b879498-c601-45af-af00-518d369339ea,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_atlun"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Atlun"", ""rarity"": ""Ultra Rare"", ""type"": ""Chaos Monster"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Atlun,Atlun,{},hyborian-gates_limited-edition_atlun
241b2b22-9877-4418-b432-1cb7cbd5ee66,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_attack!"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Attack!"", ""rarity"": ""Rare"", ""type"": ""Power Surge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Attack!,Attack!,{},hyborian-gates_limited-edition_attack!
6744817e-db20-4244-86ec-bbe4fc28fdf6,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_atum's-gate"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Atum's Gate"", ""rarity"": ""Rare"", ""type"": ""Osiran Gate"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Atum's Gate,Atum's Gate,{},hyborian-gates_limited-edition_atum's-gate
8fb420b5-4545-43e4-ac29-078384033f23,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_awesome-strength"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Awesome Strength"", ""rarity"": ""Ultra Rare"", ""type"": ""Power Surge"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Awesome Strength,Awesome Strength,{},hyborian-gates_limited-edition_awesome-strength
762fac03-2b67-4639-aa20-81fcb187d30e,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_axes-of-horleen"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Axes of Horleen"", ""rarity"": ""Rare"", ""type"": ""Osiran Tech"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Axes of Horleen,Axes of Horleen,{},hyborian-gates_limited-edition_axes-of-horleen
3cae1e9f-9660-4f1c-afdc-1f9ed9622372,item,1,0,"{""obverse"": ""hyborian-gates_limited-edition_baath"", ""reverse"": ""hyborian-gates_card-back""}","{""name_printed"": ""Baath"", ""rarity"": ""Rare"", ""type"": ""Osiran Companion"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",0df220b8-06fa-4c64-bd37-c38fccca8c6f,fb55877b-79e0-4e36-a62b-157ced327849,Baath,Baath,{},hyborian-gates_limited-edition_baath
