id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
23872fd4-dab2-460f-be74-21eaa551345f,photo,1,1,"{""obverse"": ""kult_inferno_-the-face--mancusi"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""\u0022The Face\u0022 Mancusi"", ""rarity"": ""Uncommon"", ""type"": ""Minor Arcana"", ""suits"": ""[\u0022Skulls\u0022, \u0022Skulls\u0022, \u0022Skulls\u0022]"", ""arcana_type"": ""Being"", ""being_types"": ""[\u0022Pawn\u0022]"", ""combat_value"": ""12"", ""affiliation"": ""Neutral"", ""suits"": ""[\u0022Skulls\u0022, \u0022Skulls\u0022, \u0022Skulls\u0022]"", ""station_indicators"": ""[\u0022North\u0022, \u0022East\u0022, \u0022South\u0022, \u0022West\u0022]"", ""rule_text"": ""PAWN OF DEATH. UNIQUE. Notorious ex-Nam hitman. If REBECCA SHAEFFER is in play and attacked. \u0022The Face\u0022 automatically defends in her place, wherever he is. May ONLY attack Turned Beings, but defends as normal. Is regarded a SERVANT if he resides in a Mystic Cross where SLATE resides."", ""tags"": ""[\u0022Pawn of Death\u0022, \u0022Unique\u0022]"", ""artist_names_printed"": ""[\u0022Les Edwards\u0022]"", ""artist_ids"": ""[\u00221e8e196f-5c90-4a69-8aac-71f8f8380bd6\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,"""The Face"" Mancusi","""The Face"" Mancusi","{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_-the-face--mancusi
29a29c23-67af-416e-b666-5d884a1ddfda,photo,1,1,"{""obverse"": ""kult_inferno_911"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""911"", ""rarity"": ""Common"", ""type"": ""Minor Arcana"", ""arcana_type"": ""Commandment"", ""rule_text"": ""Play directly after a Pop Marker is about to be returned to the Population Pool, or moved one step outward in any Mystic Cross. The Pop Marker is not moved. If the marker was Repelled the effects of the Repel still occur."", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,911,911,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_911
1d31379f-70b7-413b-88e7-dbb75d2aa4cb,photo,1,1,"{""obverse"": ""kult_inferno_aborted"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Aborted"", ""rarity"": ""Uncommon"", ""type"": ""Minor Arcana"", ""arcana_type"": ""Commandment"", ""rule_text"": ""Play immediately after any Being is Proclaimed into a Mystic Cross. You must Repel one Pop Marker to play this card. The Being is discarded. If the Being was a Pawn, you may immediately Recruit one Pop marker (as in a normal Recruit step)."", ""artist_names_printed"": ""[\u0022Les Edwards\u0022]"", ""artist_ids"": ""[\u00221e8e196f-5c90-4a69-8aac-71f8f8380bd6\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Aborted,Aborted,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_aborted
e8cdf789-37ce-4f7c-b2a2-831b6e8d41c8,photo,1,1,"{""obverse"": ""kult_inferno_adobi"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Adobi"", ""rarity"": ""Common"", ""type"": ""Minor Arcana"", ""arcana_type"": ""Spell"", ""suits"": ""[\u0022Skulls\u0022, \u0022Skulls\u0022]"", ""station_indicators"": ""[\u0022North\u0022, \u0022East\u0022, \u0022South\u0022, \u0022West\u0022, \u0022First\u0022, \u0022Second\u0022, \u0022Third\u0022, \u0022Fourth\u0022]"", ""rule_text"": ""SPELL. LORE OF DEATH. Cast ONLY immediately after any QUMRAN MEMBER in play was defeated in combat. Considered a CREATURE once in play. The Adobi is placed onto the defeated Qumran Member's now-empty Station and attacks the combat victor. It is removed from the game once combat ends."", ""tags"": ""[\u0022Lore of Death\u0022]"", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Adobi,Adobi,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_adobi
aa4848a6-060c-4cbb-99df-2e4f465636c1,photo,1,1,"{""obverse"": ""kult_inferno_agentii"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Agentii"", ""rarity"": ""Common"", ""type"": ""Minor Arcana"", ""arcana_type"": ""Being"", ""combat_value"": ""8"", ""affiliation"": ""Demiurge"", ""suits"": ""[\u0022Skulls\u0022, \u0022Hourglasses\u0022, \u0022Roses\u0022]"", ""station_indicators"": ""[\u0022North\u0022, \u0022Third\u0022, \u0022Fourth\u0022]"", ""rule_text"": ""CREATURE. Will never attack a Being in its own or KETHER'S Mystic Cross. The Agentii may attack at any time (except during combat). If it attacks \u0022oput of sequence\u0022 you must give the attacked Adversary one of your Pop Markers, who may place it on an available Stage member (or return it to the Population Pool)."", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Agentii,Agentii,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_agentii
af332eda-4ffe-49f0-ae57-be4e848ac8e4,photo,1,1,"{""obverse"": ""kult_inferno_al-quatil"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Al Quatil"", ""rarity"": ""Uncommon"", ""type"": ""Minor Arcana"", ""arcana_type"": ""Region"", ""affiliation"": ""Astaroth"", ""suits"": ""[\u0022Roses\u0022, \u0022Crescents\u0022, \u0022Eyes\u0022]"", ""station_indicators"": ""[\u0022First\u0022, \u0022Second\u0022, \u0022Third\u0022, \u0022Fourth\u0022]"", ""rule_text"": ""UNIQUE. You may Proclaim up to three PAWNS OF PASSION to this Region; they are QUMRAN MEMBERS, may hold Pop Markers, Sway and Recruit individually, and if face-up may add their modified CVs together and attack as one. They are all discarded if defeated. They may only be attacked individually."", ""tags"": ""[\u0022Unique\u0022]"", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Al Quatil,Al Quatil,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_al-quatil
6186a80b-ce62-4a32-9ce3-792f54bb96b9,photo,1,1,"{""obverse"": ""kult_inferno_anthony-barkley"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Anthony Barkley"", ""rarity"": ""Rare"", ""type"": ""Minor Arcana"", ""arcana_type"": ""Being"", ""combat_value"": ""6"", ""affiliation"": ""Neutral"", ""suits"": ""[\u0022Roses\u0022, \u0022Eyes\u0022]"", ""station_indicators"": ""[\u0022West\u0022, \u0022Third\u0022]"", ""rule_text"": ""LICTOR AND NEPHARITE. SPELLCASTER. UNIQUE. While Barkley is in play all of your Adversaries' cards that Recruit are Turned once they receive the Pop Marker. If Barkley is in the same Mystic Cross as INFERNO, no Pawns in play may hold Pop Markers."", ""tags"": ""[\u0022Nepharite\u0022, \u0022Spellcaster\u0022, \u0022Unique\u0022]"", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Anthony Barkley,Anthony Barkley,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_anthony-barkley
9a6cc7cf-de23-4195-bb1d-94b80968e9db,photo,1,1,"{""obverse"": ""kult_inferno_astral-projection"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Astral Projection"", ""rarity"": ""Uncommon"", ""type"": ""Minor Arcana"", ""suits"": ""[\u0022Hourglasses\u0022, \u0022Hourglasses\u0022]"", ""arcana_type"": ""Spell"", ""suits"": ""[\u0022Hourglasses\u0022, \u0022Hourglasses\u0022]"", ""station_indicators"": ""[\u0022First\u0022, \u0022Second\u0022, \u0022Third\u0022, \u0022Fourth\u0022]"", ""rule_text"": ""SPELL. LORE OF DREAMS. Cast during an Adversary's Recruit step if the caster holds no Pop Markers. The caster moves to an EMPTY Station in the Adversary's Cast (disregard Station Indicators), accepts a Recruited Pop Marker, and returns to its Station with the Marker."", ""tags"": ""[\u0022Lore of Dreams.\u0022]"", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Astral Projection,Astral Projection,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_astral-projection
766f001d-56cb-4ca5-8597-b856b2f280e2,photo,1,1,"{""obverse"": ""kult_inferno_asylum"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Asylum"", ""rarity"": ""Common"", ""type"": ""Minor Arcana"", ""suits"": ""[\u0022Skulls\u0022, \u0022Eyes\u0022]"", ""arcana_type"": ""Influence"", ""suits"": ""[\u0022Skulls\u0022, \u0022Eyes\u0022]"", ""station_indicators"": ""[\u0022North\u0022, \u0022East\u0022, \u0022South\u0022, \u0022West\u0022, \u0022First\u0022, \u0022Second\u0022, \u0022Third\u0022, \u0022Fourth\u0022]"", ""rule_text"": ""INFLUENCE AND ATTACH TO ANY REGION. The Region provides control over one extra {crescent}. DR. CRANE doubles his modified CV while in the same Mystic Cross as the Asylum (only one Asylum gives the bonus to DR. CRANE)."", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Asylum,Asylum,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_asylum
c12c3fbe-43f8-4aba-a10c-d8baeed004fe,photo,1,1,"{""obverse"": ""kult_inferno_azghoul"", ""reverse"": ""kult_card-back""}","{""name_printed"": ""Azghoul"", ""rarity"": ""Uncommon"", ""type"": ""Minor Arcana"", ""suits"": ""[\u0022Skulls\u0022, \u0022Crescents\u0022]"", ""arcana_type"": ""Being"", ""being_types"": ""[\u0022Creature\u0022]"", ""combat_value"": ""4"", ""affiliation"": ""Neutral"", ""suits"": ""[\u0022Skulls\u0022, \u0022Crescents\u0022]"", ""station_indicators"": ""[\u0022First\u0022, \u0022Second\u0022]"", ""rule_text"": ""CREATURE. Swaying Pop Markers does not cause the Azghoul to Turn, but Recruiting does. If it attacks, it must attack a Pawn if there is one available. If not, it may attack as normal. It may be given WEAPONS without a Suit Match."", ""artist_names_printed"": ""[\u0022Terry Oaks\u0022]"", ""artist_ids"": ""[\u002281098513-d913-44d9-a629-585617224d92\u0022]""}",852b904b-0725-49ae-a3b3-d55595d7148c,43132384-59b8-4950-9719-d9a663c89e14,Azghoul,Azghoul,"{""source_notes"": ""Scan donated by a friend of the project"", ""rarity_notes"": ""Rarity sourced from Jason Matz's CCG Checklist""}",kult_inferno_azghoul
