id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
3531f560-0588-4ffe-9590-9c168f1279ed,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_---and-found"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""...And Found"", ""number"": ""231"", ""type"": ""Surprise"", ""rank"": ""1"", ""surprise_phase"": ""Dress Up"", ""rule_text"": ""Give an item from your discard pile to a B.B."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,...And Found,...And Found,{},l-o-l--surprise!-dance-off!_base-set_---and-found
a03ede50-ae59-4e5c-903a-130a08639f24,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_#instagold"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""#Instagold"", ""number"": ""169"", ""type"": ""Character"", ""style"": ""9"", ""groove"": ""2"", ""rank"": ""3"", ""rule_text"": ""Discard a card. +2 Groove for each other unique club on your team."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,#Instagold,#Instagold,{},l-o-l--surprise!-dance-off!_base-set_#instagold
afcade78-92b2-415d-9ed6-62bae89e7988,first-party-document,0,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_$teezy"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""$teezy"", ""number"": ""43"", ""type"": ""Character"", ""style"": ""7"", ""groove"": ""2"", ""rank"": ""1"", ""rule_text"": ""+1 Groove if Pop B.B. is on his team."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,$teezy,$teezy,"{""source_notes"": ""Item appears on Collector Poster checklists available in starter sets""}",l-o-l--surprise!-dance-off!_base-set_$teezy
ae0d85ae-6b3e-40f8-943c-7f04cacb9646,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_80s-b-b-"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""80s B.B."", ""number"": ""147"", ""type"": ""Character"", ""style"": ""7"", ""groove"": ""2"", ""rank"": ""2"", ""rule_text"": ""Return Rock, Pop, and Hip Hop B.B.s from your discard pile to your hand."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,80s B.B.,80s B.B.,{},l-o-l--surprise!-dance-off!_base-set_80s-b-b-
0d9ad0e8-e4c9-4cbf-9d9b-5b5cd184be71,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_a-b-b--for-a-b-b-"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""A B.B. For A B.B."", ""number"": ""232"", ""type"": ""Surprise"", ""rank"": ""1"", ""surprise_phase"": ""Dress Up"", ""rule_text"": ""All players must discard a B.B. from their Dance Floor."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,A B.B. For A B.B.,A B.B. For A B.B.,{},l-o-l--surprise!-dance-off!_base-set_a-b-b--for-a-b-b-
f32e1fe3-cd5b-49e6-b2b2-b8e38764aa5c,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_agent-00l"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""Agent 00L"", ""number"": ""138"", ""type"": ""Character"", ""style"": ""10"", ""groove"": ""4"", ""rank"": ""2"", ""rule_text"": ""Rescue 2 B.B.s from your discard pile to your hand"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,Agent 00L,Agent 00L,{},l-o-l--surprise!-dance-off!_base-set_agent-00l
8be0ffdb-8a9d-4834-9c0d-87b29d9bf807,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_angel"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""Angel"", ""number"": ""104"", ""type"": ""Character"", ""style"": ""11"", ""groove"": ""0"", ""rank"": ""1"", ""rule_text"": ""Return a B.B. from your Discard pile to your hand."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,Angel,Angel,{},l-o-l--surprise!-dance-off!_base-set_angel
2d8a0c2b-bff9-4f2a-9210-f55873202d5c,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_angel's-wings"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""Angel's Wings"", ""number"": ""345"", ""type"": ""Item"", ""rule_text"": ""+2 Style AND discard to let B.B. stay on the Dance Floor after losing Dance Off."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,Angel's Wings,Angel's Wings,{},l-o-l--surprise!-dance-off!_base-set_angel's-wings
855a37cf-6e02-4928-934c-ec76f2da544a,first-party-document,0,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_art-supplies"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""Art Supplies"", ""number"": ""346"", ""type"": ""Item"", ""rank"": ""2"", ""rule_text"": ""+2 Style, OR +4 Style to any Art B.B."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,Art Supplies,Art Supplies,"{""source_notes"": ""Item appears on Collector Poster checklists available in starter sets""}",l-o-l--surprise!-dance-off!_base-set_art-supplies
335ee70c-57ce-44f2-87be-a962ee1fb115,item,1,1,"{""obverse"": ""l-o-l--surprise!-dance-off!_base-set_artsy-camera"", ""reverse"": ""l-o-l--surprise!-dance-off!_card-back""}","{""name_printed"": ""Artsy Camera"", ""number"": ""301"", ""type"": ""Item"", ""rank"": ""1"", ""rule_text"": ""+1 Style AND counts as Art Club."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",d7f21ae7-0497-49b4-831c-470b76c5f6de,6cef585c-381a-4e13-98dc-d47e1ca81914,Artsy Camera,Artsy Camera,{},l-o-l--surprise!-dance-off!_base-set_artsy-camera
