id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
12721e18-a494-4baa-8315-dbcb7a909680,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_doom-tomb"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Doom Tomb"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""Tomb of the unknown holds magical but dangerous powers."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Doom Tomb,Doom Tomb,{},monster-magic_alpha-series_doom-tomb
34aaba8d-6048-4e02-ba0f-38fa3feadfa6,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_drac's-pad"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Drac's Pad"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""His home is his castle. His pad is where he keeps and stores his helpless victims."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Drac's Pad,Drac's Pad,{},monster-magic_alpha-series_drac's-pad
2e064e5c-9434-418d-8486-2d1fa157a68b,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_dungeon-master"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Dungeon Master"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""Unspeakable tortures await those who dare cross the moat into the Dungeon Master."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Dungeon Master,Dungeon Master,{},monster-magic_alpha-series_dungeon-master
a067ca17-001a-4266-a5eb-6016bfbba4b5,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_lunar-crusher"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Lunar Crusher"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""The crushing skull of the Lunar Crusher only comes out during the battle of The Orgs."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Lunar Crusher,Lunar Crusher,{},monster-magic_alpha-series_lunar-crusher
cf6fe202-d38e-4d88-9c5b-ec90865eee94,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_serpent's-castle"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Serpent's Castle"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""The Serpent's Castle contains more gold and gems than any other in the badlands."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Serpent's Castle,Serpent's Castle,{},monster-magic_alpha-series_serpent's-castle
f3d31205-e5ea-4747-a4bc-a34bf1feb22c,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_the-bat-zone"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""The Bat Zone"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""Don't step foot into The Bat Zone where vampires and zombies are known to roam!"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,The Bat Zone,The Bat Zone,{},monster-magic_alpha-series_the-bat-zone
6518c9e2-8da7-45c0-972b-83cfeadde182,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_throne-of-agar"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Throne of Agar"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""He who sits in the throne of Agar shall perish into the gallows."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Throne of Agar,Throne of Agar,{},monster-magic_alpha-series_throne-of-agar
d4752cf5-8ce9-4e6a-8761-c8f0f6a2bb3d,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_ying-yang"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Ying Yang"", ""rarity"": ""Common"", ""type"": ""Cryptic"", ""level"": ""1"", ""skull_count"": ""1"", ""flavor_text"": ""The ancient symbol of the badlands. He who wears this sign commands the power from the underground."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Ying Yang,Ying Yang,{},monster-magic_alpha-series_ying-yang
371b3019-c695-48b0-a006-dcc075580dc2,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_cross-bones"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""Cross Bones"", ""rarity"": ""Common"", ""type"": ""Maniac"", ""level"": ""2"", ""skull_count"": ""2"", ""flavor_text"": ""The sign of the cross bones fly high in the Seas of the underworld."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,Cross Bones,Cross Bones,{},monster-magic_alpha-series_cross-bones
c10220ec-6ed1-47fc-9d70-5933af1fb679,photo,0,1,"{""obverse"": ""monster-magic_alpha-series_my-nightmare"", ""reverse"": ""monster-magic_card-back""}","{""name_printed"": ""My Nightmare"", ""rarity"": ""Common"", ""type"": ""Maniac"", ""level"": ""2"", ""skull_count"": ""2"", ""flavor_text"": ""The ghost of the Skull Wars appears out of nowhere to devour it's victim's with bloodthirsty madness."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4b3e32df-f703-4364-bdf6-3f688f27f490,feea1a8f-099e-46ea-b064-642323516a90,My Nightmare,My Nightmare,{},monster-magic_alpha-series_my-nightmare
