id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
d24bcacf-3d8e-456e-bc17-507dfd05a692,item,1,1,"{""obverse"": ""on-the-edge_arcana_adrian-fig"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Adrian Fig"", ""rarity"": ""U1"", ""number"": ""A53"", ""type"": ""Character"", ""tag"": ""Jersey Smith's Bodyguard"", ""cost"": ""2"", ""attack_power"": ""4"", ""defense_power"": ""4"", ""traits"": ""[\u0022Human\u0022, \u0022Magic Circle\u0022]"", ""rule_text"": ""Crank any time to draw any attack on jersey Smith to him. The attacker attacks Adrian instead, even if this is not normally possible."", ""flavor_text"": ""He's a former D'Aubainne University star athlete."", ""artist_names_printed"": ""[\u0022Thomas Haddad\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Adrian Fig,Adrian Fig,"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_adrian-fig
ad00f0b0-e7cf-4323-9c04-dbbd9290a3b0,item,1,1,"{""obverse"": ""on-the-edge_arcana_alisher-usman-[red-rules-background]"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Alisher Usman"", ""variant_disambiguator"": ""red rules background"", ""rarity"": ""U1"", ""number"": ""A147"", ""type"": ""Character"", ""tag"": ""Student Infiltrator"", ""cost"": ""2"", ""attack_power"": ""1"", ""defense_power"": ""3"", ""traits"": ""[\u0022Human\u0022, \u0022Neutralizer\u0022, \u0022Magic Circle\u0022]"", ""rule_text"": ""Crank any time to cancel the effects of any Magic Circle's action (including combat)."", ""flavor_text"": ""Posing as a graduate student, he has infiltrated the magic Circle for the neutralizers."", ""artist_names_printed"": ""[\u0022Lee Moyer\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Alisher Usman,Alisher Usman [red rules background],"{""variant_notes"": ""Different background colors on each variant."", ""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_alisher-usman-[red-rules-background]
4278e6da-80dd-4f89-9954-9c4172d272a1,item,1,1,"{""obverse"": ""on-the-edge_arcana_alisher-usman-[white-rules-background]"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Alisher Usman"", ""variant_disambiguator"": ""white rules background"", ""rarity"": ""U1"", ""number"": ""A147"", ""type"": ""Character"", ""tag"": ""Student Infiltrator"", ""cost"": ""2"", ""attack_power"": ""1"", ""defense_power"": ""3"", ""traits"": ""[\u0022Human\u0022, \u0022Neutralizer\u0022, \u0022Magic Circle\u0022]"", ""rule_text"": ""Crank any time to cancel the effects of any Magic Circle's action (including combat)."", ""flavor_text"": ""Posing as a graduate student, he has infiltrated the magic Circle for the neutralizers."", ""artist_names_printed"": ""[\u0022Lee Moyer\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Alisher Usman,Alisher Usman [white rules background],"{""variant_notes"": ""Different background colors on each variant."", ""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_alisher-usman-[white-rules-background]
daa44fc1-cb88-4099-9abe-fadfd2032428,item,1,1,"{""obverse"": ""on-the-edge_arcana_anastasia-crowely-(charlatan)"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Anastasia Crowely"", ""functional_disambiguator"": ""Charlatan"", ""rarity"": ""U1"", ""number"": ""A39"", ""type"": ""Character"", ""tag"": ""Charlatan"", ""cost"": ""3"", ""attack_power"": ""2"", ""defense_power"": ""5"", ""pull"": ""2*"", ""traits"": ""[\u0022Human\u0022, \u0022Cabal\u0022]"", ""rule_text"": ""+2 Pull to call Cabals. Exclude: Compton."", ""flavor_text"": ""Her \u0022powers\u0022 are no more extraordinary than those of any other naturally charismatic person."", ""artist_names_printed"": ""[\u0022Kelley Bell\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Anastasia Crowely (Charlatan),Anastasia Crowely (Charlatan),"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_anastasia-crowely-(charlatan)
538bada1-7f80-435f-bcdc-728bd59b5362,item,1,1,"{""obverse"": ""on-the-edge_arcana_anastasia-crowely-(high-mistress-of-magic)"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Anastasia Crowely"", ""functional_disambiguator"": ""High Mistress of Magic"", ""rarity"": ""U1"", ""number"": ""A40"", ""type"": ""Character"", ""tag"": ""High Mistress of Magic"", ""cost"": ""5"", ""attack_power"": ""2"", ""defense_power"": ""5"", ""pull"": ""2*"", ""traits"": ""[\u0022Human\u0022, \u0022Cabal\u0022, \u0022Astral\u0022, \u0022Registered\u0022]"", ""rule_text"": ""+2 Pull to call Cabal or Astral cards. Flip to discard one card chosen from an opponent's hand. Exclude: Compton."", ""flavor_text"": ""Her genteel veneer hides the reality, that she is one of the most powerful magicians on Al Amarja."", ""artist_names_printed"": ""[\u0022Kelley Bell\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Anastasia Crowely (High Mistress of Magic),Anastasia Crowely (High Mistress of Magic),"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_anastasia-crowely-(high-mistress-of-magic)
7479fc18-355d-41df-a908-d262fa1c05a5,item,1,1,"{""obverse"": ""on-the-edge_arcana_andrej-kawierna"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Andrej Kawierna"", ""rarity"": ""U2"", ""number"": ""A76"", ""type"": ""Character"", ""tag"": ""The Specialist"", ""cost"": ""3"", ""attack_power"": ""3"", ""defense_power"": ""3"", ""traits"": ""[\u0022Mutant\u0022, \u0022Neutralizer\u0022]"", ""rule_text"": ""Crank to pop any cranked Character with any \u0022cannot be attacked\u0022 ability. If that Character has Pull and is not Saved, the player who controls it loses Influence equal to the character's Pull."", ""flavor_text"": ""When all else fails, the Neutralizers bring in the Specialist."", ""artist_names_printed"": ""[\u0022Greg Houston\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Andrej Kawierna,Andrej Kawierna,"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_andrej-kawierna
0833a547-6f65-435d-b4f0-f420d412d975,item,1,1,"{""obverse"": ""on-the-edge_arcana_anima-nee-owoo"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Anima Nee-Owoo"", ""rarity"": ""C2"", ""number"": ""A99"", ""type"": ""Character"", ""tag"": ""CPC Inspector"", ""cost"": ""1"", ""attack_power"": ""0"", ""defense_power"": ""2"", ""pull"": ""1*"", ""traits"": ""[\u0022Human\u0022, \u0022CPC\u0022, \u0022DBI\u0022, \u0022Government\u0022]"", ""rule_text"": ""Crank to give any Astral or Psychic the trait \u0022Registered\u0022 permanently. (You may use a token as a reminder.)"", ""flavor_text"": ""She like her job because it lets her get out in the fresh air and meet new people. When things get dangerous, she's no cowboy - she calls for backup."", ""artist_names_printed"": ""[\u0022Greg Houston\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Anima Nee-Owoo,Anima Nee-Owoo,"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_anima-nee-owoo
c1f19e28-f485-401d-a6c3-d1cd7d170aa7,item,1,1,"{""obverse"": ""on-the-edge_arcana_anubis-scrolls"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Anubis Scrolls"", ""rarity"": ""U1"", ""number"": ""A15"", ""type"": ""Gear"", ""cost"": ""1"", ""pull"": ""*"", ""traits"": ""[\u0022Book\u0022, \u0022Saou\u0022, \u0022Nekros\u0022]"", ""rule_text"": ""+2 Pull to call nekros cards. Permits you to call *-cost Nekros and Saou cards. Unique."", ""flavor_text"": ""These ancient papyri contain even older secrets of Egyptian necromancy."", ""artist_names_printed"": ""[\u0022Doug Shuler\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Anubis Scrolls,Anubis Scrolls,"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_anubis-scrolls
2208975c-ffb6-4893-8b9e-d2fea1d259a8,item,1,1,"{""obverse"": ""on-the-edge_arcana_astral-egg"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Astral Egg"", ""rarity"": ""U2"", ""number"": ""A16"", ""type"": ""Condition"", ""cost"": ""1•"", ""traits"": ""[\u0022Saou\u0022, \u0022Astral\u0022]"", ""rule_text"": ""Play this on a Character as it is called. Character is in play in terms of uniqueness only. You may pop this Condition at any time; Character then enters play as though it were being called from your hand."", ""flavor_text"": ""The Book of the Dead refers to a \u0022hidden\u0022 egg. The Saou have found (or created) it as a cocoon in the Astral plane where one can await in stasis the moment of action."", ""artist_names_printed"": ""[\u0022David Bollt\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Astral Egg,Astral Egg,"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_astral-egg
be38b917-2985-450d-b27b-80a2dc715414,item,1,1,"{""obverse"": ""on-the-edge_arcana_astral-refractor"", ""reverse"": ""on-the-edge_card-back""}","{""name_printed"": ""Astral Refractor"", ""rarity"": ""C2"", ""number"": ""A17"", ""type"": ""Gear"", ""cost"": ""1•"", ""traits"": ""[\u0022Gladstein\u0022, \u0022Fringe\u0022]"", ""rule_text"": ""Character may bypass an Astral."", ""flavor_text"": ""The technological fruit of Gladstein-Hermetic rivalry..."", ""artist_names_printed"": ""[\u0022Joe Carpenter\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",6391307d-e305-49ee-9a5e-7b86c63c81d2,029c2119-9240-4217-8a80-0c57accdeaea,Astral Refractor,Astral Refractor,"{""item_source_notes"": ""item list from Atlas Games""}",on-the-edge_arcana_astral-refractor
