id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
42c4b550-ec01-431a-bbe9-d218a887f5e9,item,1,0,"{""obverse"": ""ophidian-2350_base-set_arthritic-bile"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Arthritic Bile"", ""number"": ""1"", ""type"": ""Pump: Gladiator"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Arthritic Bile,Arthritic Bile,{},ophidian-2350_base-set_arthritic-bile
c642e614-fba6-4d7f-9c92-9248ce515fd4,item,1,0,"{""obverse"": ""ophidian-2350_base-set_bacteria-pool"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Bacteria Pool"", ""number"": ""2"", ""type"": ""Zone"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Bacteria Pool,Bacteria Pool,{},ophidian-2350_base-set_bacteria-pool
b27adfaf-f460-4b26-a599-fbf769e74efd,item,1,0,"{""obverse"": ""ophidian-2350_base-set_cellular-collapse"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Cellular Collapse"", ""number"": ""3"", ""type"": ""Pump: Gladiator"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Cellular Collapse,Cellular Collapse,{},ophidian-2350_base-set_cellular-collapse
df5b5a0a-3906-4952-890c-0cd636169a2d,item,1,0,"{""obverse"": ""ophidian-2350_base-set_corrode"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Corrode"", ""number"": ""4"", ""type"": ""Quick-Hit"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Corrode,Corrode,{},ophidian-2350_base-set_corrode
3858577d-695c-4748-9c27-76c0ddcf9a46,item,1,0,"{""obverse"": ""ophidian-2350_base-set_dripping-leak"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Dripping Leak"", ""number"": ""5"", ""type"": ""Pump: Character"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Dripping Leak,Dripping Leak,{},ophidian-2350_base-set_dripping-leak
df8ec126-c0b5-4f50-8bed-c7dc9d3eb7a2,item,1,0,"{""obverse"": ""ophidian-2350_base-set_festering-stink"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Festering Stink"", ""number"": ""6"", ""type"": ""Pump: Character"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Festering Stink,Festering Stink,{},ophidian-2350_base-set_festering-stink
86772acc-933a-4d01-8ced-314b18aeaa8d,item,1,0,"{""obverse"": ""ophidian-2350_base-set_jagged-bones"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Jagged Bones"", ""number"": ""7"", ""type"": ""Pump: Character"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Jagged Bones,Jagged Bones,{},ophidian-2350_base-set_jagged-bones
2fba01c5-0c36-41ad-bbed-eabaf654aa27,item,1,0,"{""obverse"": ""ophidian-2350_base-set_lung-spores"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Lung Spores"", ""number"": ""8"", ""type"": ""Pump: Gladiator"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Lung Spores,Lung Spores,{},ophidian-2350_base-set_lung-spores
f7f20d80-106a-4ad3-8d6b-837ab52799e8,item,1,0,"{""obverse"": ""ophidian-2350_base-set_open-sores"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Open Sores"", ""number"": ""9"", ""type"": ""Pump: Gladiator"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Open Sores,Open Sores,{},ophidian-2350_base-set_open-sores
96ea71b3-a0f0-4aad-b687-074c8eb346d1,item,1,0,"{""obverse"": ""ophidian-2350_base-set_pestilence"", ""reverse"": ""ophidian-2350_card-back""}","{""name_printed"": ""Pestilence"", ""number"": ""10"", ""type"": ""Pump: Gladiator"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f31279db-1664-410d-ab37-c839514c9b8c,de253988-fadd-4f54-be9d-3e1585d94178,Pestilence,Pestilence,{},ophidian-2350_base-set_pestilence
