id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
c31b2060-9b51-4019-a70a-c46a279b331d,item,1,0,"{""obverse"": ""powercardz_first-strike_abduct-city-official"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Abduct City Official"", ""rarity"": ""Common"", ""number"": ""203"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Abduct City Official,Abduct City Official,{},powercardz_first-strike_abduct-city-official
f8727f18-f160-45c3-b88d-e804aa75937f,item,1,0,"{""obverse"": ""powercardz_first-strike_abduct-president"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Abduct President"", ""rarity"": ""Common"", ""number"": ""204"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Abduct President,Abduct President,{},powercardz_first-strike_abduct-president
78451ef4-7e06-4b21-a9aa-bf47f9103410,item,1,0,"{""obverse"": ""powercardz_first-strike_act-of-terrorism"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Act of Terrorism"", ""rarity"": ""Common"", ""number"": ""187"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Act of Terrorism,Act of Terrorism,{},powercardz_first-strike_act-of-terrorism
a99acc0d-8b03-4279-82e7-814f0d2c427c,item,1,0,"{""obverse"": ""powercardz_first-strike_adriana-kessler"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Adriana Kessler"", ""rarity"": ""Common"", ""number"": ""21"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Adriana Kessler,Adriana Kessler,{},powercardz_first-strike_adriana-kessler
61f0e289-9e38-49a3-8958-0968b3617cae,item,1,0,"{""obverse"": ""powercardz_first-strike_agent-parsons"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Agent Parsons"", ""rarity"": ""Common"", ""number"": ""16"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Agent Parsons,Agent Parsons,{},powercardz_first-strike_agent-parsons
b24bc5c5-0c92-44a0-ad23-519ea69320a1,item,1,0,"{""obverse"": ""powercardz_first-strike_ally"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Ally"", ""rarity"": ""Uncommon"", ""number"": ""140"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Ally,Ally,{},powercardz_first-strike_ally
2f485c62-a459-46fc-949f-502dca185d4e,item,1,0,"{""obverse"": ""powercardz_first-strike_ambush!"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Ambush!"", ""rarity"": ""Uncommon"", ""number"": ""164"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Ambush!,Ambush!,{},powercardz_first-strike_ambush!
129aebc2-42e7-44bf-bf80-6a2027221943,third-party-document,0,0,"{""obverse"": ""powercardz_first-strike_angel-shadow"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Angel Shadow"", ""rarity"": ""Common"", ""number"": ""19"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Angel Shadow,Angel Shadow,{},powercardz_first-strike_angel-shadow
1dbe36ae-3ea4-406e-b9c9-105b721f1c00,third-party-document,0,0,"{""obverse"": ""powercardz_first-strike_aquarius"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Aquarius"", ""rarity"": ""Common"", ""number"": ""281"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Aquarius,Aquarius,{},powercardz_first-strike_aquarius
d599b4d4-2dc1-4451-989b-5bff877dc308,item,1,0,"{""obverse"": ""powercardz_first-strike_arcane-powers"", ""reverse"": ""powercardz_card-back""}","{""name_printed"": ""Arcane Powers"", ""rarity"": ""Uncommon"", ""number"": ""95"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",1939fb2f-6422-424c-9cf4-58b833f42c0f,cf7d3caf-ee4b-4530-a0f4-485ff5500068,Arcane Powers,Arcane Powers,{},powercardz_first-strike_arcane-powers
