id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
9714c2af-7d4e-4b8a-88b4-1731a2295be9,first-party-document,0,1,"{""obverse"": ""racing-challenge_1st-edition_dale-earnhardt-[1]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Dale Earnhardt"", ""variant_disambiguator"": ""1"", ""rarity"": ""Fixed"", ""number"": ""1"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Dale Earnhardt"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Dale Earnhardt,Dale Earnhardt [1],{},racing-challenge_1st-edition_dale-earnhardt-[1]
3242e055-cd45-4dbb-aaff-b759ef0a8583,first-party-document,0,1,"{""obverse"": ""racing-challenge_1st-edition_dale-jarrett-[2]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Dale Jarrett"", ""variant_disambiguator"": ""2"", ""rarity"": ""Fixed"", ""number"": ""2"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Dale Jarrett"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Dale Jarrett,Dale Jarrett [2],{},racing-challenge_1st-edition_dale-jarrett-[2]
2ae85319-271d-447a-8773-98a73daecf19,first-party-document,0,1,"{""obverse"": ""racing-challenge_1st-edition_dale-earnhardt,-jr-[3]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Dale Earnhardt, Jr"", ""variant_disambiguator"": ""3"", ""rarity"": ""Fixed"", ""number"": ""3"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Dale Earnhardt, Jr"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,"Dale Earnhardt, Jr","Dale Earnhardt, Jr [3]",{},"racing-challenge_1st-edition_dale-earnhardt,-jr-[3]"
05a6c45e-caa3-412b-81c4-a7eb20545817,first-party-document,0,1,"{""obverse"": ""racing-challenge_1st-edition_mark-martin-[4]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Mark Martin"", ""variant_disambiguator"": ""4"", ""rarity"": ""Fixed"", ""number"": ""4"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Mark Martin"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Mark Martin,Mark Martin [4],{},racing-challenge_1st-edition_mark-martin-[4]
f1030299-8cc9-4586-ab51-bcb465435520,first-party-document,0,1,"{""obverse"": ""racing-challenge_1st-edition_jeff-gordon-[5]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Jeff Gordon"", ""variant_disambiguator"": ""5"", ""rarity"": ""Fixed"", ""number"": ""5"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Jeff Gordon"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Jeff Gordon,Jeff Gordon [5],{},racing-challenge_1st-edition_jeff-gordon-[5]
be5bd03e-d459-41e8-9d1c-c0ca7908780e,first-party-document,0,1,"{""obverse"": ""racing-challenge_1st-edition_rusty-wallace-[6]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Rusty Wallace"", ""variant_disambiguator"": ""6"", ""rarity"": ""Fixed"", ""number"": ""6"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Rusty Wallace"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Rusty Wallace,Rusty Wallace [6],{},racing-challenge_1st-edition_rusty-wallace-[6]
978c8c1d-621b-4680-8a1a-e03178e5d27a,item,1,1,"{""obverse"": ""racing-challenge_1st-edition_tony-stewart-[7]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Tony Stewart"", ""variant_disambiguator"": ""7"", ""rarity"": ""Fixed"", ""number"": ""7"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Tony Stewart"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Tony Stewart,Tony Stewart [7],"{""source_notes"": ""Available in Stewart/Labonte Starter Deck""}",racing-challenge_1st-edition_tony-stewart-[7]
87baada0-68fd-4e21-bd3b-2c1b7b15ccf9,item,1,1,"{""obverse"": ""racing-challenge_1st-edition_bobby-labonte-[8]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Bobby Labonte"", ""variant_disambiguator"": ""8"", ""rarity"": ""Fixed"", ""number"": ""8"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Bobby Labonte"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Bobby Labonte,Bobby Labonte [8],"{""source_notes"": ""Available in Stewart/Labonte Starter Deck""}",racing-challenge_1st-edition_bobby-labonte-[8]
2590a037-b7a3-4b0c-a51d-91d881b45e81,item,1,1,"{""obverse"": ""racing-challenge_1st-edition_dale-earnhardt-[9]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Dale Earnhardt"", ""variant_disambiguator"": ""9"", ""rarity"": ""Rare"", ""number"": ""9"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Dale Earnhardt"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Dale Earnhardt,Dale Earnhardt [9],{},racing-challenge_1st-edition_dale-earnhardt-[9]
ab47b8d9-a87f-4b87-9d78-3599b6d5e4ec,item,1,1,"{""obverse"": ""racing-challenge_1st-edition_dale-jarrett-[10]"", ""reverse"": ""racing-challenge_card-back""}","{""name_printed"": ""Dale Jarrett"", ""variant_disambiguator"": ""10"", ""rarity"": ""Rare"", ""number"": ""10"", ""print_finish"": ""Normal"", ""type"": ""Driver"", ""driver"": ""Dale Jarrett"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4acabae0-427c-4043-8f6c-2e7e76c4381f,eecf20d3-1fe8-46ac-80f4-c68cd954a72c,Dale Jarrett,Dale Jarrett [10],{},racing-challenge_1st-edition_dale-jarrett-[10]
