id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
b62301d6-7f26-4b79-8e16-7546d69b4b28,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_aaron's-staff"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Aaron's Staff"", ""rarity"": ""Rare"", ""card_icon"": ""Artifact"", ""brigades"": ""None"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Aaron's Staff,Aaron's Staff,{},redemption_ab-cloud-of-witnesses_aaron's-staff
c8afb4f9-d59b-4b1f-b93f-4e44cbd46eb8,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_abel"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Abel"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""Blue/Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Abel,Abel,{},redemption_ab-cloud-of-witnesses_abel
146663a5-839d-4a01-922e-6b1009e9d3ee,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_abraham"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Abraham"", ""rarity"": ""Rare"", ""card_icon"": ""Hero"", ""brigades"": ""Blue"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Abraham,Abraham,{},redemption_ab-cloud-of-witnesses_abraham
31f6b547-976d-407c-9c72-68250706c3a6,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_amram-&-jochebed"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Amram & Jochebed"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""White"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Amram & Jochebed,Amram & Jochebed,{},redemption_ab-cloud-of-witnesses_amram-&-jochebed
b7128088-060b-4481-9a50-5eb61779c5a2,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_army-of-jericho"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Army of Jericho"", ""rarity"": ""Common"", ""card_icon"": ""Evil Character"", ""brigades"": ""Black"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Army of Jericho,Army of Jericho,{},redemption_ab-cloud-of-witnesses_army-of-jericho
c717c0bd-b119-4861-8375-3b6dfad31499,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_barak"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Barak"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""Red"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Barak,Barak,{},redemption_ab-cloud-of-witnesses_barak
3dfba1d9-a016-45b8-9f89-e7ce619c21ac,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_bear"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Bear"", ""rarity"": ""Common"", ""card_icon"": ""Evil Character"", ""brigades"": ""Crimson"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Bear,Bear,{},redemption_ab-cloud-of-witnesses_bear
8aa0e013-3114-4cf0-a12d-f662a6ed9941,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_broken-covenant"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Broken Covenant"", ""rarity"": ""Ultra Rare"", ""card_icon"": ""Evil Enhancement/Artifact (Curse)"", ""brigades"": ""Brown/Gold"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Broken Covenant,Broken Covenant,{},redemption_ab-cloud-of-witnesses_broken-covenant
4764075d-76f5-44a6-b6a9-dd05bd696094,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_cain"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Cain"", ""rarity"": ""Rare"", ""card_icon"": ""Evil Character"", ""brigades"": ""Pale Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Cain,Cain,{},redemption_ab-cloud-of-witnesses_cain
331c5109-d723-496a-9ee0-8b65fd549e7c,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_cain-murders-abel"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Cain Murders Abel"", ""rarity"": ""Common"", ""card_icon"": ""Evil Enhancement"", ""brigades"": ""Pale Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Cain Murders Abel,Cain Murders Abel,{},redemption_ab-cloud-of-witnesses_cain-murders-abel
70989ae1-c42f-4897-a909-5e55640be9bf,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_casting-stones"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Casting Stones"", ""rarity"": ""Common"", ""card_icon"": ""Evil Enhancement"", ""brigades"": ""Brown"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Casting Stones,Casting Stones,{},redemption_ab-cloud-of-witnesses_casting-stones
e474ceb9-6214-4dea-9270-fd167c01dea9,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_cloud-of-witnesses"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Cloud of Witnesses"", ""rarity"": ""Rare"", ""card_icon"": ""Good Fortress"", ""brigades"": ""None"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Cloud of Witnesses,Cloud of Witnesses,{},redemption_ab-cloud-of-witnesses_cloud-of-witnesses
ad5ac691-0e09-4625-971a-88914e2448f0,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_coliseum"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Coliseum"", ""rarity"": ""Rare"", ""card_icon"": ""Evil Fortress"", ""brigades"": ""None"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Coliseum,Coliseum,{},redemption_ab-cloud-of-witnesses_coliseum
94f28051-6ab6-4503-bf51-e8365dfefd95,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_coliseum-lion"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Coliseum Lion"", ""rarity"": ""Common"", ""card_icon"": ""Evil Character"", ""brigades"": ""Crimson/Gray"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Coliseum Lion,Coliseum Lion,{},redemption_ab-cloud-of-witnesses_coliseum-lion
9a55b2ef-3aea-4f73-b735-0dcb07287f51,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_confusion"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Confusion"", ""rarity"": ""Rare"", ""card_icon"": ""Evil Enhancement"", ""brigades"": ""Brown/Pale Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Confusion,Confusion,{},redemption_ab-cloud-of-witnesses_confusion
a8219d53-43ee-416d-9e14-852b17d51ac1,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_continuous-evil"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Continuous Evil"", ""rarity"": ""Common"", ""card_icon"": ""Evil Enhancement"", ""brigades"": ""Pale Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Continuous Evil,Continuous Evil,{},redemption_ab-cloud-of-witnesses_continuous-evil
f1e67ce6-b9cf-4432-8f80-702d508463ab,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_corrupt-people"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Corrupt People"", ""rarity"": ""Common"", ""card_icon"": ""Evil Character"", ""brigades"": ""Pale Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Corrupt People,Corrupt People,{},redemption_ab-cloud-of-witnesses_corrupt-people
eca79040-7549-4049-a9d4-281479e0e748,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_daniel"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Daniel"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""Green/White"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Daniel,Daniel,{},redemption_ab-cloud-of-witnesses_daniel
d47213cd-1950-4151-ad05-5607af3f4bf4,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_david,-the-psalmist"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""David, the Psalmist"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""Green/White"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,"David, the Psalmist","David, the Psalmist",{},"redemption_ab-cloud-of-witnesses_david,-the-psalmist"
b10bc7c6-8120-491d-8fbe-99ee58515381,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_david,-the-shepherd"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""David, the Shepherd"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""Purple/Red"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,"David, the Shepherd","David, the Shepherd",{},"redemption_ab-cloud-of-witnesses_david,-the-shepherd"
7cd7d569-e4ad-4ede-9956-73923779da5c,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_deceitful-sin"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Deceitful Sin"", ""rarity"": ""Common"", ""card_icon"": ""Evil Enhancement"", ""brigades"": ""Crimson"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Deceitful Sin,Deceitful Sin,{},redemption_ab-cloud-of-witnesses_deceitful-sin
0b7faac5-d8ba-46ee-a0d0-45460c2e14a2,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_doeg"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Doeg"", ""rarity"": ""Common"", ""card_icon"": ""Evil Character"", ""brigades"": ""Brown/Crimson"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Doeg,Doeg,{},redemption_ab-cloud-of-witnesses_doeg
56a46afa-47c6-4bf6-92d0-50d2aec6a2bb,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_dutiful-priest"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Dutiful Priest"", ""rarity"": ""Common"", ""card_icon"": ""Hero"", ""brigades"": ""Teal"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Dutiful Priest,Dutiful Priest,{},redemption_ab-cloud-of-witnesses_dutiful-priest
4898e93a-8ea8-41bb-ab40-4dd4eb674fcd,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_egyptian-treasures"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Egyptian Treasures"", ""rarity"": ""Common"", ""card_icon"": ""Evil Enhancement"", ""brigades"": ""Gold"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Egyptian Treasures,Egyptian Treasures,{},redemption_ab-cloud-of-witnesses_egyptian-treasures
c3a4118f-6182-4b0b-bb80-8eaa0571de4d,third-party-document,0,0,"{""obverse"": ""redemption_ab-cloud-of-witnesses_enoch"", ""reverse"": ""redemption_card-back""}","{""name_printed"": ""Enoch"", ""rarity"": ""Rare"", ""card_icon"": ""Hero"", ""brigades"": ""Blue/Green"", ""item_dimensions"": ""{\u0022height\u0022: \u002289\u0022, \u0022width\u0022: \u002261\u0022, \u0022unit\u0022: \u0022millimeter\u0022}""}",1c2b43e4-2b30-461b-aeb9-107c8c272d27,2ab4fe58-6c3f-4164-b553-7ec7071fda31,Enoch,Enoch,{},redemption_ab-cloud-of-witnesses_enoch
