id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
8b5b4608-816e-4dbe-bd1c-5d7bd34b5ae2,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_angry-beelzebub"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Angry Beelzebub"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F2"", ""item_finish"": ""Foil"", ""number"": ""SL01-05"", ""type"": ""Asset: Unit"", ""cost"": ""2"", ""attack"": ""3"", ""water"": ""2"", ""health"": ""6"", ""rule_text"": ""Activate: Attack with this unit."", ""tags"": ""[\u0022Demon\u0022, \u0022Fiend\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Angry Beelzebub,Angry Beelzebub,{},sand-land-tactical-card-battle_base-set_angry-beelzebub
d8df60d0-01d6-4f64-8b85-38a3ab91bc25,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_ann-(asset--unit)"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Ann"", ""functional_disambiguator"": ""Asset: Unit"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F2"", ""item_finish"": ""Normal"", ""number"": ""SL03-06"", ""type"": ""Asset: Unit"", ""cost"": ""1"", ""attack"": ""1"", ""water"": ""2"", ""health"": ""6"", ""rule_text"": ""Activate: Heal an asset 1."", ""tags"": ""[\u0022Human\u0022, \u0022Demon\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Ann (Asset: Unit),Ann (Asset: Unit),{},sand-land-tactical-card-battle_base-set_ann-(asset--unit)
429c60a3-2a95-43c1-a60f-1fcb954b6260,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_ann-(leader)"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Ann"", ""functional_disambiguator"": ""Leader"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F1"", ""item_finish"": ""Foil"", ""number"": ""SL08-01"", ""type"": ""Leader"", ""water"": ""3"", ""rule_text"": ""Exhaust: Heal your units 1. Each unit healed this way has +2 Attack this turn."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Ann (Leader),Ann (Leader),{},sand-land-tactical-card-battle_base-set_ann-(leader)
397534f8-c10c-46e7-a0ac-a26e4c1d687e,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_apo"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Apo"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F3"", ""item_finish"": ""Normal"", ""number"": ""SL04-09"", ""type"": ""Asset: Unit"", ""cost"": ""0"", ""attack"": ""2"", ""water"": ""1"", ""health"": ""3"", ""rule_text"": ""Defeated: You may ready an exhausted card."", ""tags"": ""[\u0022Human\u0022]"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Apo,Apo,{},sand-land-tactical-card-battle_base-set_apo
8f0589b0-4792-4d2d-95e6-9527ca8a5618,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_aquanium-[sl06-12]"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Aquanium"", ""variant_disambiguator"": ""SL06-12"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F3"", ""item_finish"": ""Normal"", ""number"": ""SL06-12"", ""type"": ""Asset: Location"", ""cost"": ""3"", ""attack"": ""0"", ""water"": ""1"", ""health"": ""12"", ""rule_text"": ""Activate: Reclaim 1 Scrap."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Aquanium,Aquanium [SL06-12],{},sand-land-tactical-card-battle_base-set_aquanium-[sl06-12]
df781cdc-2f78-4604-a36b-581ac063132e,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_aquanium-[sl09-13]"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Aquanium"", ""variant_disambiguator"": ""SL09-13"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F2"", ""item_finish"": ""Normal"", ""number"": ""SL09-13"", ""type"": ""Asset: Location"", ""cost"": ""3"", ""attack"": ""0"", ""water"": ""1"", ""health"": ""12"", ""rule_text"": ""Activate: Reclaim 1 Scrap."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Aquanium,Aquanium [SL09-13],{},sand-land-tactical-card-battle_base-set_aquanium-[sl09-13]
181ebc7a-511a-46e2-b0f3-65676ec9ce6f,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_aquanium-absorption"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Aquanium Absorption"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F3"", ""item_finish"": ""Normal"", ""number"": ""SL10-12"", ""type"": ""Tactic"", ""cost"": ""0"", ""rule_text"": ""Reveal: You may pay 1-2 Scrap. If you do, search your deck for any Muniel with that Scrap cost and put it face up into play in an empty slot. Shuffle this tactic into your deck."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Aquanium Absorption,Aquanium Absorption,{},sand-land-tactical-card-battle_base-set_aquanium-absorption
3f7ad19e-0fd4-47c7-a433-fc381b197a6d,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_art-of-manipulation"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Art of Manipulation"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F2"", ""item_finish"": ""Foil"", ""number"": ""SL10-10"", ""type"": ""Tactic"", ""cost"": ""0"", ""rule_text"": ""Discard: Choose a face up enemy unit. It attacks a neighbor of your choice."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Art of Manipulation,Art of Manipulation,{},sand-land-tactical-card-battle_base-set_art-of-manipulation
11d5af7e-b9fd-40e5-915f-12d4f8540cc5,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_assistance-[sl05-12]"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Assistance"", ""variant_disambiguator"": ""SL05-12"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F2"", ""item_finish"": ""Normal"", ""number"": ""SL05-12"", ""type"": ""Tactic"", ""cost"": ""0"", ""rule_text"": ""Attach: Chosen unit has Agile (This unit may both move and attack in either order.), Armor Piercing (This unit's damage ignores Armor on the target.), and +1 Attack."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Assistance,Assistance [SL05-12],{},sand-land-tactical-card-battle_base-set_assistance-[sl05-12]
af7a681f-195d-4ac0-9bb9-d04cc92cf31d,item,1,1,"{""obverse"": ""sand-land-tactical-card-battle_base-set_assistance-[sl08-14]"", ""reverse"": ""sand-land-tactical-card-battle_card-back""}","{""name_printed"": ""Assistance"", ""variant_disambiguator"": ""SL08-14"", ""rarity"": ""Fixed"", ""fixed_rarity_ratio"": ""F2"", ""item_finish"": ""Normal"", ""number"": ""SL08-14"", ""type"": ""Tactic"", ""cost"": ""0"", ""rule_text"": ""Attach: Chosen unit has Agile (This unit may both move and attack in either order.), Armor Piercing (This unit's damage ignores Armor on the target.), and +1 Attack."", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",8a2df42a-283f-49cb-9e1a-4ae10c5baeef,05a4fb59-e06b-4ef1-ba48-e6a90088f572,Assistance,Assistance [SL08-14],{},sand-land-tactical-card-battle_base-set_assistance-[sl08-14]
