id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
37255dcd-96a1-48f5-8e11-859a9cc893ad,item,1,,"{""obverse"": ""the-spoils_1st-edition_12-man-brunch-of-doom"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""12 Man Brunch of Doom"", ""rarity"": ""Common"", ""number_text"": ""001/220"", ""number"": ""1"", ""finish"": ""Normal"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,12 Man Brunch of Doom,12 Man Brunch of Doom,{},the-spoils_1st-edition_12-man-brunch-of-doom
1abede52-8b57-414e-b84c-6929eca2305a,item,1,,"{""obverse"": ""the-spoils_1st-edition_12-man-brunch-of-doom-[foil]"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""12 Man Brunch of Doom"", ""variant_disambiguator"": ""Foil"", ""rarity"": ""Common"", ""number_text"": ""001/220"", ""number"": ""1"", ""finish"": ""Foil"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,12 Man Brunch of Doom,12 Man Brunch of Doom [Foil],{},the-spoils_1st-edition_12-man-brunch-of-doom-[foil]
de4272ab-5763-4553-9572-646c84e626d8,item,1,,"{""obverse"": ""the-spoils_1st-edition_1337!"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""1337!"", ""rarity"": ""Common"", ""number_text"": ""091/220"", ""number"": ""91"", ""finish"": ""Normal"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,1337!,1337!,{},the-spoils_1st-edition_1337!
a6dbc257-33de-46b0-b46d-3bb7cb86e7d7,item,1,,"{""obverse"": ""the-spoils_1st-edition_1337!-[foil]"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""1337!"", ""variant_disambiguator"": ""Foil"", ""rarity"": ""Common"", ""number_text"": ""091/220"", ""number"": ""91"", ""finish"": ""Foil"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,1337!,1337! [Foil],{},the-spoils_1st-edition_1337!-[foil]
12b663d9-fdc7-4695-a2f4-20e170901251,item,1,,"{""obverse"": ""the-spoils_1st-edition_3p1ph4ny-31f"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""3p1ph4ny 31f"", ""rarity"": ""Rare"", ""number_text"": ""092/220"", ""number"": ""92"", ""finish"": ""Normal"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,3p1ph4ny 31f,3p1ph4ny 31f,{},the-spoils_1st-edition_3p1ph4ny-31f
f7e2a7f8-6138-4386-af32-5d87854ddfee,item,1,,"{""obverse"": ""the-spoils_1st-edition_3p1ph4ny-31f-[foil]"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""3p1ph4ny 31f"", ""variant_disambiguator"": ""Foil"", ""rarity"": ""Rare"", ""number_text"": ""092/220"", ""number"": ""92"", ""finish"": ""Foil"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,3p1ph4ny 31f,3p1ph4ny 31f [Foil],{},the-spoils_1st-edition_3p1ph4ny-31f-[foil]
7bcf4a42-9bd8-43fc-a604-ae921504287b,item,1,,"{""obverse"": ""the-spoils_1st-edition_633fy-31f"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""633fy 31f"", ""rarity"": ""Common"", ""number_text"": ""093/220"", ""number"": ""93"", ""finish"": ""Normal"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,633fy 31f,633fy 31f,{},the-spoils_1st-edition_633fy-31f
93c40ab5-13fd-432d-a665-beb5206107bc,item,1,,"{""obverse"": ""the-spoils_1st-edition_633fy-31f-[foil]"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""633fy 31f"", ""variant_disambiguator"": ""Foil"", ""rarity"": ""Common"", ""number_text"": ""093/220"", ""number"": ""93"", ""finish"": ""Foil"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,633fy 31f,633fy 31f [Foil],{},the-spoils_1st-edition_633fy-31f-[foil]
4c92b2e0-a91f-442b-8ffd-c2ac455692db,item,1,,"{""obverse"": ""the-spoils_1st-edition_700160x-31f"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""700160x 31f"", ""rarity"": ""Common"", ""number_text"": ""094/220"", ""number"": ""94"", ""finish"": ""Normal"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,700160x 31f,700160x 31f,{},the-spoils_1st-edition_700160x-31f
011ab72a-4d29-4a45-bd55-133288350cda,item,1,,"{""obverse"": ""the-spoils_1st-edition_700160x-31f-[foil]"", ""reverse"": ""the-spoils_card-back""}","{""name_printed"": ""700160x 31f"", ""variant_disambiguator"": ""Foil"", ""rarity"": ""Common"", ""number_text"": ""094/220"", ""number"": ""94"", ""finish"": ""Foil"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",f22bd713-2989-4642-b772-697ef12168e2,d26a0e42-aaf9-401a-a6ce-9e55314dab59,700160x 31f,700160x 31f [Foil],{},the-spoils_1st-edition_700160x-31f-[foil]
