id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
ded81146-a434-4782-b060-4a5a2a78fb9f,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-dunn"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Dunn"", ""number"": ""1"", ""type"": ""Player"", ""position"": ""Outfield"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Dunn,Adam Dunn,{},topps-attax_topps-attax-2011_adam-dunn
29aaccd9-eeb4-4318-9926-3a029b993aa2,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-dunn-[foil]"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Dunn"", ""variant_disambiguator"": ""foil"", ""number"": ""1"", ""print_finish"": ""foil"", ""type"": ""Player"", ""position"": ""Outfield"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Dunn,Adam Dunn [foil],{},topps-attax_topps-attax-2011_adam-dunn-[foil]
15fcd533-ac6d-4bb0-aeed-2f917f195d05,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-jones"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Jones"", ""number"": ""2"", ""type"": ""Player"", ""position"": ""Outfield"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Jones,Adam Jones,{},topps-attax_topps-attax-2011_adam-jones
c18df475-bd9e-4842-ab82-28726bcdc2d3,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-jones-[foil]"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Jones"", ""variant_disambiguator"": ""foil"", ""number"": ""2"", ""print_finish"": ""foil"", ""type"": ""Player"", ""position"": ""Outfield"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Jones,Adam Jones [foil],{},topps-attax_topps-attax-2011_adam-jones-[foil]
5cffb300-31ef-49f4-be7f-4c7814b6ea55,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-laroche"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam LaRoche"", ""number"": ""3"", ""type"": ""Player"", ""position"": ""First Base"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam LaRoche,Adam LaRoche,{},topps-attax_topps-attax-2011_adam-laroche
5158cfc1-b8d4-4bb3-9992-84b02c983945,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-laroche-[foil]"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam LaRoche"", ""variant_disambiguator"": ""foil"", ""number"": ""3"", ""print_finish"": ""foil"", ""type"": ""Player"", ""position"": ""First Base"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam LaRoche,Adam LaRoche [foil],{},topps-attax_topps-attax-2011_adam-laroche-[foil]
f5b5db77-9255-4a89-8e1c-9071f19081aa,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-lind"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Lind"", ""number"": ""4"", ""type"": ""Player"", ""position"": ""Designated Hitter"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Lind,Adam Lind,{},topps-attax_topps-attax-2011_adam-lind
f508aa42-ce69-441d-a43a-24b3873724c4,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-lind-[foil]"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Lind"", ""variant_disambiguator"": ""foil"", ""number"": ""4"", ""print_finish"": ""foil"", ""type"": ""Player"", ""position"": ""Designated Hitter"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Lind,Adam Lind [foil],{},topps-attax_topps-attax-2011_adam-lind-[foil]
f7583018-4d40-4522-ad91-1a0a5881fc9e,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-wainwright"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Wainwright"", ""number"": ""5"", ""type"": ""Player"", ""position"": ""Pitcher"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Wainwright,Adam Wainwright,{},topps-attax_topps-attax-2011_adam-wainwright
b710e25f-119c-471f-84b1-272c9221c88e,first-party-document,0,0,"{""obverse"": ""topps-attax_topps-attax-2011_adam-wainwright-[foil]"", ""reverse"": ""topps-attax_card-back""}","{""name_printed"": ""Adam Wainwright"", ""variant_disambiguator"": ""foil"", ""number"": ""5"", ""print_finish"": ""foil"", ""type"": ""Player"", ""position"": ""Pitcher"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",e749d30a-1d4c-47d1-95a6-f05bde80467f,8b28d3a8-1b92-4491-bd8a-3ca4772ebc23,Adam Wainwright,Adam Wainwright [foil],{},topps-attax_topps-attax-2011_adam-wainwright-[foil]
