id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
b8ebc11f-91a5-4410-90b5-5b45f1169cba,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_atomic-knee-drop"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Atomic Knee Drop"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Atomic Knee Drop,Atomic Knee Drop,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_atomic-knee-drop
9ff07155-3f15-4ca0-b93e-6c63a2db81af,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_banned-from-ringside"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Banned from Ringside"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Banned from Ringside,Banned from Ringside,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_banned-from-ringside
e4e3cd86-536a-4235-924f-0bacfb8227bc,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_big-show,-guest-ringside-announcer"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Big Show, Guest Ringside Announcer"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,"Big Show, Guest Ringside Announcer","Big Show, Guest Ringside Announcer",{},"wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_big-show,-guest-ringside-announcer"
4b830a65-beb3-45cb-accc-bd7e80320f0e,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_caution--dangerous-curves-ahead"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Caution: Dangerous Curves Ahead"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Caution: Dangerous Curves Ahead,Caution: Dangerous Curves Ahead,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_caution--dangerous-curves-ahead
722eee0b-178e-41d5-8df8-066fff69c637,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_chris-jericho,-kane,-or-----d-von-dudley-"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Chris Jericho, Kane, or ... D-Von Dudley?"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,"Chris Jericho, Kane, or ... D-Von Dudley?","Chris Jericho, Kane, or ... D-Von Dudley?",{},"wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_chris-jericho,-kane,-or-----d-von-dudley-"
7cb6afa0-2dd8-4b24-b078-2215fb04ea0f,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_chris-nowinski,-guest-ringside-announcer"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Chris Nowinski, Guest Ringside Announcer"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,"Chris Nowinski, Guest Ringside Announcer","Chris Nowinski, Guest Ringside Announcer",{},"wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_chris-nowinski,-guest-ringside-announcer"
82800962-74f4-413b-9577-801200207c25,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_divas!-divas!-divas!"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Divas! Divas! Divas!"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Divas! Divas! Divas!,Divas! Divas! Divas!,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_divas!-divas!-divas!
14ffbd63-77c0-4a19-9cfc-e311c10ebb99,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_elimination-chamber"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Elimination Chamber"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Elimination Chamber,Elimination Chamber,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_elimination-chamber
ce24c368-7262-4412-ade5-7ec092a00a0a,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_escape-to-the-side"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Escape to the Side"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Escape to the Side,Escape to the Side,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_escape-to-the-side
ad8b4afd-63e7-495a-bfd9-28fca31da792,third-party-document,0,0,"{""obverse"": ""wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_get-off-my-program!"", ""reverse"": ""wwe-raw-deal_card-back""}","{""name_printed"": ""Get Off My Program!"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",c1604dc7-58da-4a90-b009-17c6e44017c2,fccd0517-0319-4204-8909-2f191e262752,Get Off My Program!,Get Off My Program!,{},wwe-raw-deal_absolutely-raw-&-ultimate-smackdown_get-off-my-program!
