id,source,imaged,documented,images,attributes,game_id,set_id,functional_name,item_name,source_notes,game_set_item_slug
2eb4f82f-6f17-46b2-a395-b5b797e448cf,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_zilla-suit"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Zilla Suit"", ""item_dimensions"": ""{\u0022height\u0022: \u00223.5\u0022, \u0022width\u0022: \u00222.5\u0022, \u0022unit\u0022: \u0022inch\u0022}""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Zilla Suit,Zilla Suit,{},xxxenophile_xxxenophile_zilla-suit
f8a3dfed-2a0c-4770-8140-170d9fad0bed,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_50's-aliens-who-dig-earth-women"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""50's Aliens who Dig Earth Women""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,50's Aliens who Dig Earth Women,50's Aliens who Dig Earth Women,{},xxxenophile_xxxenophile_50's-aliens-who-dig-earth-women
389a77c3-e07b-4a39-a943-2f97cc9cd70f,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_æther-bunny"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Æther Bunny""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Æther Bunny,Æther Bunny,{},xxxenophile_xxxenophile_æther-bunny
9c258a2a-20ef-43ef-aa11-74735b20aeb1,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_alien-abduction-squad"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Alien Abduction Squad""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Alien Abduction Squad,Alien Abduction Squad,{},xxxenophile_xxxenophile_alien-abduction-squad
17b4f23c-357b-4ad5-beea-b17acb908aef,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_alien-sex-mechanic"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Alien Sex Mechanic""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Alien Sex Mechanic,Alien Sex Mechanic,{},xxxenophile_xxxenophile_alien-sex-mechanic
b9d30885-8950-4811-912a-914c4cdd0848,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_amelia-earhart"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Amelia Earhart""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Amelia Earhart,Amelia Earhart,{},xxxenophile_xxxenophile_amelia-earhart
1ad81eaa-dd2b-4d61-a09e-fb2ebecdcb16,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_amorous-blob"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Amorous Blob""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Amorous Blob,Amorous Blob,{},xxxenophile_xxxenophile_amorous-blob
cf083e53-dcc8-420e-a94e-d7c87c893b98,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_andromeda-swain"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Andromeda Swain""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Andromeda Swain,Andromeda Swain,{},xxxenophile_xxxenophile_andromeda-swain
907e8897-0859-4e01-ac47-c770ffd516fc,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_anemone-mine"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Anemone Mine""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Anemone Mine,Anemone Mine,{},xxxenophile_xxxenophile_anemone-mine
2fd763e1-ff7d-48c2-aeaa-50bd7772fd01,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_aphrodisiac-of-lila"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Aphrodisiac of Lila""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Aphrodisiac of Lila,Aphrodisiac of Lila,{},xxxenophile_xxxenophile_aphrodisiac-of-lila
6a8d3872-2c49-4e23-b278-4fa9f7598c55,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_aphrodite"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Aphrodite""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Aphrodite,Aphrodite,{},xxxenophile_xxxenophile_aphrodite
f0d32ebb-559e-425e-b334-c23fc942d258,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_asteroid-annie"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Asteroid Annie""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Asteroid Annie,Asteroid Annie,{},xxxenophile_xxxenophile_asteroid-annie
3d0022a5-2eb2-4902-aa3c-7e8e0a3d60f7,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_atlantean-witch-doctor"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Atlantean Witch Doctor""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Atlantean Witch Doctor,Atlantean Witch Doctor,{},xxxenophile_xxxenophile_atlantean-witch-doctor
74785b19-2f77-4832-ae09-2f3e8848506c,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_axelrod-rimthruster"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Axelrod Rimthruster""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Axelrod Rimthruster,Axelrod Rimthruster,{},xxxenophile_xxxenophile_axelrod-rimthruster
3e49ad82-6f2a-400f-a046-d2ad094dd44f,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_babe-magnet"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Babe Magnet""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Babe Magnet,Babe Magnet,{},xxxenophile_xxxenophile_babe-magnet
f928c7f0-33b0-47f3-ae07-9b989b8fa1ed,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_bactram,-mad-political-scientist"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Bactram, Mad Political Scientist""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,"Bactram, Mad Political Scientist","Bactram, Mad Political Scientist",{},"xxxenophile_xxxenophile_bactram,-mad-political-scientist"
9665d1d5-fa72-4d0a-891d-6da744de1b88,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_baron-droit-de-seigneur"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Baron Droit de Seigneur""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Baron Droit de Seigneur,Baron Droit de Seigneur,{},xxxenophile_xxxenophile_baron-droit-de-seigneur
1ac6cd5c-8cad-4473-b920-592c9e88fbbc,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_bedside-manor"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Bedside Manor""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Bedside Manor,Bedside Manor,{},xxxenophile_xxxenophile_bedside-manor
ffb6cb79-79e1-418b-9f2f-ae78f5ea75a7,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_bermuda-triangle"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Bermuda Triangle""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Bermuda Triangle,Bermuda Triangle,{},xxxenophile_xxxenophile_bermuda-triangle
2f10a99d-3903-4355-9986-1e2d469d8f7a,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_bernadette-sysoptrix"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Bernadette Sysoptrix""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Bernadette Sysoptrix,Bernadette Sysoptrix,{},xxxenophile_xxxenophile_bernadette-sysoptrix
9f76f1df-0379-4cdc-a3f6-16f1a5f7c440,item,1,0,"{""obverse"": ""xxxenophile_xxxenophile_betelgeusian-pleasure-beast"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Betelgeusian Pleasure Beast""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Betelgeusian Pleasure Beast,Betelgeusian Pleasure Beast,{},xxxenophile_xxxenophile_betelgeusian-pleasure-beast
f6b83a3b-b914-41a6-9167-55d41ecf9d82,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_bi-plane"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Bi-Plane""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Bi-Plane,Bi-Plane,{},xxxenophile_xxxenophile_bi-plane
309684ff-9899-4b8e-b00f-b52834cd7dcf,third-party-document,0,0,"{""obverse"": ""xxxenophile_xxxenophile_big-book-o'-forbidden-knowledge"", ""reverse"": ""xxxenophile_card-back""}","{""name_printed"": ""Big Book O' Forbidden Knowledge""}",4bf03ca8-b30f-4c5c-802f-265af7fd3299,5510190f-535a-45cf-89a5-e910b2a7d475,Big Book O' Forbidden Knowledge,Big Book O' Forbidden Knowledge,{},xxxenophile_xxxenophile_big-book-o'-forbidden-knowledge
