id,game_id,name,game_set_slug,publishers,released,release_year,release_month,release_day,expected_item_count,source_notes
10a6fb12-b317-497b-9d50-5dac2e2ceacc,564d4de2-cb25-4965-808f-33fcce9f8eb7,Black Sails,7th-sea_black-sails,"[""Alderac Entertainment Group""]",,2000,11,,53,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
faf44bd0-413b-4551-a945-3727926e499f,564d4de2-cb25-4965-808f-33fcce9f8eb7,Broadsides,7th-sea_broadsides,"[""Alderac Entertainment Group""]",,2000,1,,323,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
7966f92c-155f-487f-b840-a6b4af5535a5,564d4de2-cb25-4965-808f-33fcce9f8eb7,No Quarter,7th-sea_no-quarter,"[""Alderac Entertainment Group""]",,1999,8,,323,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
c5e37dc7-4ef7-4946-ae75-50978068a896,564d4de2-cb25-4965-808f-33fcce9f8eb7,Other,7th-sea_other,"[""Alderac Entertainment Group""]",,,,,58,{}
c4d596e4-03a2-4c81-9a08-26e13002e846,564d4de2-cb25-4965-808f-33fcce9f8eb7,Scarlet Seas,7th-sea_scarlet-seas,"[""Alderac Entertainment Group""]",,2000,8,,156,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
e6b6ee30-0c0f-43ef-a81d-43623dfba64d,564d4de2-cb25-4965-808f-33fcce9f8eb7,Shifting Tides,7th-sea_shifting-tides,"[""Alderac Entertainment Group""]",,2000,3,,156,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
37d1fc40-dc5d-4d4e-93fb-5a583db0daea,564d4de2-cb25-4965-808f-33fcce9f8eb7,Strange Vistas,7th-sea_strange-vistas,"[""Alderac Entertainment Group""]",,1999,12,,156,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
40ac653e-7a22-4b2b-962d-98ebbd5514cf,b34ba75b-a032-4a0c-be2a-e00847fe814f,Age of Empires,age-of-empires-expandable-card-game_age-of-empires,"[""The United States Playing Card Co.""]",,2000,12,,269,"{""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
acc717b2-40e0-40d2-b556-4a08635c3109,1cf78374-ebc9-4a10-a8ef-22a9a2372e34,Alien Resurrection,aliens-predator-customizable-card-game_alien-resurrection,"[""HarperPrism""]",,1999,3,,116,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
c9212761-3f18-43f7-bc27-f2e84f34685a,1cf78374-ebc9-4a10-a8ef-22a9a2372e34,Aliens Predator,aliens-predator-customizable-card-game_aliens-predator,"[""HarperPrism""]",,1997,8,,363,"{""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
e1ad50b6-62d6-4088-82db-cb3cb74ddef4,1cf78374-ebc9-4a10-a8ef-22a9a2372e34,Other,aliens-predator-customizable-card-game_other,"[""HarperPrism""]",,,,,15,{}
b8936c8c-5672-43d6-92a6-66a07ea2eb6b,b65fcb03-9be4-4a48-a06d-b66a4c47de76,Beyond the Gates,altered_beyond-the-gates,"[""Equinox""]",1,,,,,{}
d78ac6ca-54c8-4950-a52c-1f0ac662d655,b65fcb03-9be4-4a48-a06d-b66a4c47de76,Skybound,altered_skybound,"[""Equinox""]",,,,,,{}
3e7cec17-33a5-4b73-adfb-e37602eba666,b65fcb03-9be4-4a48-a06d-b66a4c47de76,Trial by Frost,altered_trial-by-frost,"[""Equinox""]",,,,,,{}
80d21ab9-bfc7-47b2-8243-e76369a1a4ed,b65fcb03-9be4-4a48-a06d-b66a4c47de76,Winter's Flame,altered_winter-s-flame,"[""Equinox""]",,,,,,{}
6e47cf49-1758-4f95-bd64-4eeed4287b99,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,23 Seconds,android--netrunner_23-seconds,"[""Renegade Game Studios""]",1,2016,7,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
a0bfa457-e71a-4f10-8284-0bb9dfb22ca8,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,A Study in Static,android--netrunner_a-study-in-static,"[""Renegade Game Studios""]",1,2013,3,21,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
388666d7-47de-4a01-9f98-2a92951f0a16,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,All That Remains,android--netrunner_all-that-remains,"[""Renegade Game Studios""]",1,2014,11,13,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
480f5e25-75d2-42bd-83fb-7fdca74c6251,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Blood and Water,android--netrunner_blood-and-water,"[""Renegade Game Studios""]",1,2017,6,22,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
90433187-06d7-45e4-a4bf-3f3f70cb965d,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Blood Money,android--netrunner_blood-money,"[""Renegade Game Studios""]",1,2016,8,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
9fcf6587-03d3-4850-9853-67aaadf33604,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Breaker Bay,android--netrunner_breaker-bay,"[""Renegade Game Studios""]",1,2015,4,23,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
fb71b14f-f10b-48ed-864b-08eff5fe0eda,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Business First,android--netrunner_business-first,"[""Renegade Game Studios""]",1,2016,3,10,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
b179bc92-c2e9-490b-8c86-3e37ba9995fd,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Chrome City,android--netrunner_chrome-city,"[""Renegade Game Studios""]",1,2015,5,29,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
79ea1446-4bab-4c45-9e1b-6d2ab3c3fc67,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Core,android--netrunner_core,"[""Renegade Game Studios""]",1,2012,9,6,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
46ca9cfd-44e6-440a-a82b-e99d329aa85c,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Council of the Crest,android--netrunner_council-of-the-crest,"[""Renegade Game Studios""]",1,2018,3,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
39d74c67-4183-456e-b04c-487e83968219,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Creation and Control,android--netrunner_creation-and-control,"[""Renegade Game Studios""]",1,2013,7,29,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
2aff532f-86e6-4424-932e-da7e57bd4a3c,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Crimson Dust,android--netrunner_crimson-dust,"[""Renegade Game Studios""]",1,2017,8,17,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
8680ebba-e5b8-4167-a524-371c703b2064,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Cyber Exodus,android--netrunner_cyber-exodus,"[""Renegade Game Studios""]",1,2013,2,14,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
03f2d466-cf56-4a7c-8343-3c4168aaae7f,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Daedalus Complex,android--netrunner_daedalus-complex,"[""Renegade Game Studios""]",1,2017,3,9,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
30854a6d-36ff-4355-b327-3ac658bb2239,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Data and Destiny,android--netrunner_data-and-destiny,"[""Renegade Game Studios""]",1,2015,10,29,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
d00c2a18-3557-401b-b354-02007f883617,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Democracy and Dogma,android--netrunner_democracy-and-dogma,"[""Renegade Game Studios""]",1,2016,3,31,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
